TEAM,GP,W,L,MIN,"EST. 
OFFRTG","EST. 
DEFRTG","EST. 
NETRTG","EST. 
AST RATIO","EST. 
OREB%","EST. 
DREB%","EST. 
REB%","EST. 
TOV%","EST. 
PACE",Season
Charlotte Bobcats,82,26,56,3981,99.5,104.2,-4.7,15.9,27.1,70.7,47.5,14.6,96.00,2005
Atlanta Hawks,82,26,56,3976,103.8,108.3,-4.5,15.5,31.4,69.5,49.9,16.7,93.00,2005
New York Knicks,82,23,59,3986,101.1,108.4,-7.3,14.2,31.2,72.8,51.8,18.7,93.20,2005
Portland Trail Blazers,82,21,61,3946,97.9,109.4,-11.5,15.1,26.6,68.2,47.1,16.2,90.10,2005
Phoenix Suns,82,62,20,3956,111.9,103.7,8.2,17.4,27.5,68.3,48.9,13.9,98.60,2004
Miami Heat,82,59,23,3996,108.2,99.8,8.4,17.1,27.0,74.1,51.5,14.6,93.10,2004
San Antonio Spurs,82,59,23,3961,104.9,95.8,9.1,17.1,29.1,73.6,51.3,15.0,91.40,2004
Dallas Mavericks,82,58,24,3946,107.5,101.0,6.4,15.3,28.6,70.2,49.9,14.1,95.30,2004
Detroit Pistons,82,54,28,3991,102.8,97.9,4.8,17.2,31.2,73.0,52.3,15.2,89.80,2004
Seattle SuperSonics,82,52,30,3951,108.1,106.1,2.0,14.7,32.4,71.3,51.9,14.8,91.00,2004
Houston Rockets,82,51,31,3971,103.2,98.9,4.3,16.9,26.3,74.5,51.0,15.0,91.30,2004
Sacramento Kings,82,50,32,3971,107.5,105.0,2.5,18.2,28.8,69.0,48.9,13.6,95.70,2004
Denver Nuggets,82,49,33,3951,103.4,100.7,2.7,18.0,28.4,71.7,50.2,15.5,96.10,2004
Chicago Bulls,82,47,35,3966,98.5,97.5,1.0,16.4,28.4,72.6,50.6,17.4,95.10,2004
Washington Wizards,82,45,37,3956,104.0,104.2,-0.2,14.6,31.1,70.0,49.9,14.8,96.20,2004
Boston Celtics,82,45,37,3976,104.8,103.3,1.5,16.9,27.2,70.1,49.1,16.4,95.90,2004
Memphis Grizzlies,82,45,37,3941,102.5,99.9,2.7,16.9,27.1,69.9,48.6,16.0,91.10,2004
Minnesota Timberwolves,82,44,38,3951,104.9,103.7,1.2,18.3,28.6,71.4,51.0,14.3,91.70,2004
Indiana Pacers,82,44,38,3981,102.4,101.9,0.5,15.1,26.4,71.3,49.2,15.8,89.60,2004
Philadelphia 76ers,82,43,39,3971,100.8,101.5,-0.7,15.9,25.4,72.7,48.8,15.8,97.50,2004
Cleveland Cavaliers,82,42,40,3971,103.2,102.5,0.7,17.3,32.5,71.5,51.5,14.9,92.60,2004
New Jersey Nets,82,42,40,3981,98.3,100.4,-2.1,17.1,25.5,73.2,49.0,15.3,91.70,2004
Los Angeles Clippers,82,37,45,4006,102.2,103.4,-1.2,17.9,30.3,71.3,51.5,16.8,91.80,2004
Orlando Magic,82,36,46,3941,102.1,104.2,-2.1,14.8,29.9,71.3,50.9,16.5,97.40,2004
Golden State Warriors,82,34,48,3981,101.9,104.0,-2.0,16.6,27.8,69.7,47.8,14.0,95.80,2004
Los Angeles Lakers,82,34,48,3956,104.9,108.0,-3.1,15.9,29.5,71.1,50.4,15.2,93.70,2004
Toronto Raptors,82,33,49,3961,104.5,105.9,-1.3,16.0,23.7,71.1,47.0,13.9,95.00,2004
New York Knicks,82,33,49,3976,103.0,106.5,-3.5,15.9,28.3,71.2,49.6,15.5,93.10,2004
Milwaukee Bucks,82,30,52,3956,103.4,106.7,-3.3,16.4,29.0,72.0,50.3,14.7,93.50,2004
Portland Trail Blazers,82,27,55,3946,100.1,104.5,-4.4,16.6,29.6,67.7,49.4,17.2,92.60,2004
Utah Jazz,82,26,56,3956,101.1,107.0,-5.9,17.4,31.9,72.3,51.6,17.1,91.00,2004
Charlotte Bobcats,82,18,64,3976,98.0,104.7,-6.8,16.5,29.5,70.9,49.1,15.1,95.00,2004
New Orleans Hornets,82,18,64,3986,95.9,105.1,-9.1,16.6,29.1,70.7,49.0,16.1,90.40,2004
Atlanta Hawks,82,13,69,3971,97.9,108.4,-10.5,15.3,30.7,72.1,50.4,17.0,93.80,2004
Indiana Pacers,82,61,21,3961,100.9,94.8,6.1,17.3,28.5,73.9,50.9,15.9,89.90,2003
Minnesota Timberwolves,82,58,24,3951,103.3,96.6,6.7,18.2,26.7,72.5,50.9,13.9,91.50,2003
San Antonio Spurs,82,57,25,3951,99.8,91.6,8.2,16.3,29.5,74.6,52.3,16.0,91.50,2003
Los Angeles Lakers,82,56,26,3971,102.7,98.7,4.0,17.9,28.1,73.3,50.4,14.4,94.80,2003
Sacramento Kings,82,55,27,3956,107.3,102.2,5.1,19.6,26.0,69.8,48.4,14.5,95.30,2003
Detroit Pistons,82,54,28,3956,99.1,92.5,6.6,16.6,30.1,71.8,51.3,16.6,90.50,2003
Dallas Mavericks,82,52,30,3961,109.6,104.3,5.3,17.7,31.4,71.6,51.0,12.7,95.70,2003
Memphis Grizzlies,82,50,32,3976,101.9,99.2,2.7,17.7,29.5,68.4,48.7,15.8,94.00,2003
New Jersey Nets,82,47,35,3941,98.2,95.2,3.0,19.1,25.9,73.9,49.9,16.0,91.90,2003
Houston Rockets,82,45,37,3986,98.1,96.4,1.8,15.8,26.5,74.5,51.7,18.3,90.30,2003
Denver Nuggets,82,43,39,3946,100.8,99.9,0.9,16.5,30.5,69.3,49.6,16.2,96.10,2003
Miami Heat,82,42,40,3951,99.3,98.9,0.4,15.6,27.4,73.4,50.2,15.2,90.50,2003
Utah Jazz,82,42,40,3956,98.3,100.4,-2.1,16.3,34.1,72.4,52.9,18.4,89.40,2003
Milwaukee Bucks,82,41,41,3956,103.5,102.6,0.9,17.5,27.6,71.8,49.7,14.3,94.10,2003
New Orleans Hornets,82,41,41,3966,99.1,99.5,-0.3,16.4,30.6,71.3,50.4,16.2,91.80,2003
Portland Trail Blazers,82,41,41,3996,100.5,102.2,-1.6,17.2,31.2,70.0,50.8,16.4,88.80,2003
New York Knicks,82,39,43,3976,99.1,100.3,-1.2,16.4,28.0,72.8,50.7,16.9,92.10,2003
Seattle SuperSonics,82,37,45,3961,104.0,104.7,-0.6,17.1,27.2,68.5,48.0,15.5,92.80,2003
Golden State Warriors,82,37,45,3971,100.5,101.2,-0.7,16.2,28.4,72.1,50.2,15.9,92.10,2003
Boston Celtics,82,36,46,3941,99.9,100.2,-0.3,16.1,25.2,69.5,47.8,17.0,95.80,2003
Cleveland Cavaliers,82,35,47,3971,98.4,101.3,-2.9,16.9,31.1,73.0,52.0,15.7,93.60,2003
Philadelphia 76ers,82,33,49,3971,96.1,99.1,-3.0,16.1,28.2,70.7,49.7,17.4,90.70,2003
Toronto Raptors,82,33,49,3996,94.6,97.6,-3.0,15.9,23.8,70.1,46.8,15.7,89.10,2003
Phoenix Suns,82,29,53,3946,98.8,102.2,-3.4,15.3,26.6,69.9,48.1,16.0,95.30,2003
Los Angeles Clippers,82,28,54,3961,99.8,105.9,-6.1,15.5,32.8,70.0,51.3,17.3,93.80,2003
Atlanta Hawks,82,28,54,3981,98.2,103.1,-4.9,15.7,28.6,70.5,49.8,17.4,93.50,2003
Washington Wizards,82,25,57,3966,95.9,101.9,-6.1,14.5,30.7,69.5,49.6,18.3,95.00,2003
Chicago Bulls,82,23,59,3966,93.9,100.5,-6.6,16.7,28.1,71.4,49.1,16.9,94.80,2003
Orlando Magic,82,21,61,3966,99.3,107.5,-8.3,15.2,28.1,68.7,47.9,14.5,93.60,2003
Dallas Mavericks,82,60,22,3956,108.2,99.4,8.8,17.3,25.4,70.9,48.1,12.1,95.00,2002
San Antonio Spurs,82,60,22,3966,103.1,96.6,6.5,15.9,28.8,71.3,51.1,17.0,92.50,2002
Sacramento Kings,82,59,23,3966,103.1,96.3,6.8,18.3,25.6,70.6,49.3,14.7,98.00,2002
Minnesota Timberwolves,82,51,31,3961,103.5,100.6,2.9,19.0,28.2,72.9,51.1,14.5,94.60,2002
Los Angeles Lakers,82,50,32,3986,104.1,101.8,2.3,17.4,30.2,72.7,51.3,15.1,95.20,2002
Portland Trail Blazers,82,50,32,3970,102.6,99.5,3.1,17.7,30.2,72.3,51.3,16.4,92.10,2002
Detroit Pistons,82,50,32,3981,101.4,97.3,4.2,16.2,25.9,74.0,49.6,14.9,89.10,2002
New Jersey Nets,82,49,33,3951,100.6,95.5,5.1,17.6,28.7,73.1,50.9,15.6,94.20,2002
Indiana Pacers,82,48,34,3981,101.6,97.9,3.7,17.7,29.0,72.3,51.1,15.5,94.20,2002
Philadelphia 76ers,82,48,34,3971,101.8,100.0,1.8,16.5,30.3,72.7,51.1,15.5,94.00,2002
New Orleans Hornets,82,47,35,3981,100.6,98.4,2.3,17.0,31.7,73.1,52.2,15.8,92.30,2002
Utah Jazz,82,47,35,3956,102.4,99.8,2.7,19.5,32.5,70.2,52.1,18.1,92.00,2002
Phoenix Suns,82,44,38,3961,100.7,99.4,1.2,16.2,29.7,70.3,49.8,15.5,94.30,2002
Boston Celtics,82,44,38,3966,98.9,98.5,0.4,15.5,23.6,72.5,47.4,14.9,93.40,2002
Houston Rockets,82,43,39,3986,101.0,99.9,1.1,14.7,30.3,72.4,51.8,16.8,91.50,2002
Orlando Magic,82,42,40,3961,102.3,101.9,0.4,15.8,27.0,71.1,48.4,14.9,95.80,2002
Milwaukee Bucks,82,42,40,3981,106.2,105.3,1.0,17.4,25.6,69.9,47.7,13.6,92.90,2002
Seattle SuperSonics,82,40,42,3971,100.7,100.9,-0.2,17.2,28.1,71.8,49.6,14.5,90.70,2002
Golden State Warriors,82,38,44,3951,105.0,106.0,-1.0,15.4,35.0,67.9,51.6,16.2,97.20,2002
New York Knicks,82,37,45,3971,101.5,103.7,-2.2,17.2,24.4,71.8,47.6,14.8,93.30,2002
Washington Wizards,82,37,45,3966,100.2,100.9,-0.7,15.9,27.3,71.6,49.4,14.6,90.80,2002
Atlanta Hawks,82,35,47,3981,99.6,102.8,-3.2,16.0,27.9,70.4,50.0,17.6,93.70,2002
Chicago Bulls,82,30,52,3985,97.3,103.1,-5.8,16.5,27.7,69.5,48.9,17.3,96.10,2002
Memphis Grizzlies,82,28,54,3986,101.0,104.6,-3.6,17.5,27.0,68.7,48.1,15.9,95.20,2002
Los Angeles Clippers,82,27,55,3951,99.5,103.6,-4.1,15.4,29.1,70.2,49.7,16.7,94.00,2002
Miami Heat,82,25,57,3966,93.8,99.8,-6.0,15.0,26.8,73.9,49.7,15.6,90.30,2002
Toronto Raptors,82,24,58,3961,97.4,104.3,-6.9,15.3,28.2,70.7,48.6,15.4,92.40,2002
Cleveland Cavaliers,82,17,65,3966,93.5,103.6,-10.1,15.7,31.0,73.2,51.7,18.7,96.90,2002
Denver Nuggets,82,17,65,3946,88.9,99.0,-10.0,16.3,31.3,73.3,51.3,19.5,93.80,2002
Sacramento Kings,82,61,21,3951,106.4,98.6,7.7,17.7,27.9,71.7,50.2,14.0,98.00,2001
Los Angeles Lakers,82,58,24,3956,106.5,98.7,7.8,17.5,28.8,72.0,50.6,13.3,94.80,2001
San Antonio Spurs,82,58,24,3971,104.0,96.5,7.5,16.0,27.2,71.9,50.3,15.5,92.60,2001
Dallas Mavericks,82,57,25,3976,109.5,104.8,4.7,16.9,26.1,70.7,48.7,12.6,95.30,2001
New Jersey Nets,82,52,30,3966,101.1,96.6,4.5,18.2,29.2,71.6,50.3,15.2,94.50,2001
Minnesota Timberwolves,82,50,32,3961,105.8,102.2,3.6,18.4,31.3,73.7,52.8,14.3,93.30,2001
Detroit Pistons,82,50,32,3936,102.5,99.3,3.3,17.3,24.4,70.5,47.6,15.8,92.40,2001
Boston Celtics,82,49,33,3966,101.1,98.0,3.1,16.4,24.1,72.9,47.9,14.3,95.00,2001
Portland Trail Blazers,82,49,33,3966,104.4,101.0,3.4,18.0,31.8,73.3,52.3,15.4,92.00,2001
Seattle SuperSonics,82,45,37,3966,105.8,102.5,3.4,18.3,29.4,68.1,49.1,14.8,91.70,2001
Orlando Magic,82,44,38,3966,104.1,102.5,1.6,16.8,26.3,69.2,47.6,14.1,95.80,2001
Utah Jazz,82,44,38,3966,102.4,101.6,0.8,18.4,33.5,71.7,52.5,17.6,93.00,2001
Charlotte Hornets,82,44,38,3951,101.4,100.0,1.4,16.7,30.6,72.2,51.5,15.1,92.50,2001
Philadelphia 76ers,82,43,39,3946,99.1,97.5,1.6,15.8,31.7,72.1,52.1,16.7,91.50,2001
Indiana Pacers,82,42,40,3981,101.2,101.1,0.1,17.6,27.0,71.0,49.5,15.9,94.50,2001
Toronto Raptors,82,42,40,3951,99.4,100.0,-0.6,16.9,31.4,70.1,50.1,15.6,91.60,2001
Milwaukee Bucks,82,41,41,3981,104.2,103.9,0.4,17.7,25.6,70.9,49.3,15.1,92.80,2001
Los Angeles Clippers,82,39,43,3961,102.0,103.2,-1.2,16.3,31.3,69.9,50.8,15.8,92.90,2001
Washington Wizards,82,37,45,3946,101.5,103.2,-1.7,16.6,30.7,71.4,50.8,14.2,91.10,2001
Phoenix Suns,82,36,46,3966,100.2,101.0,-0.7,17.1,30.1,70.2,49.9,15.5,94.20,2001
Miami Heat,82,36,46,3986,96.0,97.6,-1.6,16.5,26.6,74.0,50.5,16.3,89.70,2001
Atlanta Hawks,82,33,49,3956,99.1,103.7,-4.6,15.8,27.5,70.9,49.1,16.4,94.40,2001
New York Knicks,82,30,52,3961,98.6,103.0,-4.4,16.7,25.6,71.9,48.8,15.6,92.30,2001
Cleveland Cavaliers,82,29,53,3971,101.7,105.0,-3.3,17.8,28.9,72.8,51.0,15.6,93.00,2001
Houston Rockets,82,28,54,3996,99.7,105.9,-6.1,14.6,29.0,69.8,49.2,15.2,90.80,2001
Denver Nuggets,82,27,55,3961,97.8,104.9,-7.1,17.0,30.6,69.9,49.3,15.6,93.30,2001
Memphis Grizzlies,82,23,59,3956,95.4,103.8,-8.4,16.9,27.8,68.0,47.9,17.4,93.50,2001
Golden State Warriors,82,21,61,3956,99.3,105.6,-6.3,15.3,35.3,69.4,51.9,17.1,97.50,2001
Chicago Bulls,82,21,61,3961,95.5,104.8,-9.3,17.3,26.6,71.4,48.4,16.3,93.00,2001
San Antonio Spurs,82,58,24,3966,104.7,94.9,9.8,17.2,27.1,73.7,51.5,15.2,91.80,2000
Los Angeles Lakers,82,56,26,3981,105.6,101.7,3.9,17.4,31.1,72.5,52.0,15.2,94.30,2000
Philadelphia 76ers,82,56,26,3971,100.7,96.2,4.5,16.0,31.2,72.5,52.3,16.8,93.20,2000
Sacramento Kings,82,55,27,4016,102.8,97.0,5.8,16.8,27.2,70.7,49.5,15.0,97.00,2000
Dallas Mavericks,82,53,29,3961,104.5,100.1,4.4,16.5,24.1,70.7,48.0,14.5,95.50,2000
Utah Jazz,82,53,29,3956,104.1,100.0,4.1,19.6,30.2,73.2,52.1,17.0,92.30,2000
Milwaukee Bucks,82,52,30,3956,106.3,101.2,5.1,17.2,28.1,71.1,49.8,14.5,94.70,2000
Phoenix Suns,82,51,31,3961,97.5,95.4,2.1,17.5,27.3,73.7,50.1,15.8,95.70,2000
Portland Trail Blazers,82,50,32,3956,103.6,99.0,4.6,18.6,30.0,72.4,51.9,16.6,91.70,2000
Miami Heat,82,50,32,3976,98.6,95.7,2.9,16.4,24.3,72.7,48.6,15.2,89.40,2000
New York Knicks,82,48,34,3981,98.7,95.5,3.1,15.6,24.2,74.3,50.1,16.1,89.00,2000
Minnesota Timberwolves,82,47,35,3966,102.7,100.7,2.1,19.0,28.6,71.9,50.0,14.6,94.30,2000
Toronto Raptors,82,47,35,3991,102.6,100.5,2.1,18.2,30.8,73.2,51.5,13.8,93.80,2000
Charlotte Hornets,82,46,36,3976,99.3,96.3,3.0,17.8,29.8,74.5,52.2,15.6,92.00,2000
Houston Rockets,82,45,37,3966,103.6,101.7,1.9,15.7,27.5,71.9,50.3,15.6,92.90,2000
Seattle SuperSonics,82,44,38,3961,102.6,102.7,-0.1,16.9,29.1,69.8,49.6,16.1,94.20,2000
Orlando Magic,82,43,39,3991,100.4,99.2,1.2,16.6,29.1,69.8,48.9,15.6,95.80,2000
Indiana Pacers,82,41,41,3996,99.4,99.2,0.2,16.9,27.0,71.4,49.9,16.3,91.90,2000
Denver Nuggets,82,40,42,3956,101.1,103.1,-2.0,18.0,28.3,71.8,49.8,14.5,95.30,2000
Boston Celtics,82,36,46,3966,99.0,100.9,-1.9,16.2,25.3,72.7,48.0,16.4,95.00,2000
Detroit Pistons,82,32,50,3971,97.3,98.9,-1.6,14.9,29.3,72.2,50.3,16.2,97.50,2000
Los Angeles Clippers,82,31,51,4006,98.4,101.8,-3.5,15.3,28.3,71.1,50.3,16.8,92.10,2000
Cleveland Cavaliers,82,30,52,3966,97.4,102.0,-4.6,16.2,29.7,71.1,50.5,17.4,93.90,2000
New Jersey Nets,82,26,56,3946,96.9,103.0,-6.1,15.4,25.7,70.0,47.3,15.5,94.50,2000
Atlanta Hawks,82,25,57,3946,95.6,101.9,-6.3,14.9,28.9,70.8,49.7,17.5,94.50,2000
Vancouver Grizzlies,82,23,59,3956,96.8,103.2,-6.3,17.9,26.1,69.8,48.1,16.6,94.10,2000
Washington Wizards,82,19,63,3936,97.8,104.8,-7.0,15.6,29.7,71.8,50.3,17.8,95.30,2000
Golden State Warriors,82,17,65,3956,94.5,104.9,-10.4,15.9,33.3,69.7,50.0,16.2,96.80,2000
Chicago Bulls,82,15,67,3971,94.3,104.9,-10.6,17.4,26.6,70.3,47.6,17.0,91.70,2000
Los Angeles Lakers,82,67,15,3961,104.6,95.6,9.0,17.4,30.6,73.1,52.1,14.5,95.80,1999
Portland Trail Blazers,82,59,23,3956,105.1,97.7,7.4,18.2,30.3,72.4,52.4,16.4,92.40,1999
Indiana Pacers,82,56,26,3946,105.9,100.8,5.2,17.5,24.9,71.5,49.1,14.8,95.60,1999
Utah Jazz,82,55,27,3951,104.0,99.8,4.2,19.1,29.5,73.2,51.8,16.0,92.20,1999
Phoenix Suns,82,53,29,3961,101.8,96.2,5.6,18.8,29.3,70.5,50.3,17.2,96.70,1999
San Antonio Spurs,82,53,29,3971,102.8,95.7,7.1,17.3,27.8,73.0,51.4,16.1,93.10,1999
Miami Heat,82,52,30,3966,102.2,97.7,4.5,18.3,28.2,72.9,51.6,16.2,92.20,1999
Minnesota Timberwolves,82,50,32,3981,103.4,100.2,3.2,19.8,29.4,73.0,51.0,14.6,94.40,1999
New York Knicks,82,50,32,3966,99.8,98.1,1.7,15.8,24.7,73.1,49.7,15.9,91.70,1999
Charlotte Hornets,82,49,33,3956,101.7,98.9,2.8,18.4,25.7,73.2,50.0,15.2,96.30,1999
Philadelphia 76ers,82,49,33,3966,98.5,97.5,0.9,16.6,31.4,69.9,50.3,16.3,95.30,1999
Seattle SuperSonics,82,45,37,3956,102.6,101.8,0.8,17.2,28.5,69.6,48.8,14.5,96.00,1999
Toronto Raptors,82,45,37,3951,101.8,101.7,0.0,17.7,30.1,71.8,50.2,14.5,95.20,1999
Sacramento Kings,82,44,38,3961,101.9,99.9,2.0,17.0,27.7,69.7,48.6,15.7,101.90,1999
Detroit Pistons,82,42,40,3966,104.6,103.1,1.6,15.7,26.8,71.6,49.3,15.9,98.20,1999
Milwaukee Bucks,82,42,40,3971,104.9,104.9,0.0,17.1,30.0,69.6,49.9,15.5,95.50,1999
Orlando Magic,82,41,41,3951,99.4,98.9,0.5,15.3,31.6,69.9,50.8,17.5,100.20,1999
Dallas Mavericks,82,40,42,3946,103.8,104.5,-0.7,16.7,25.5,66.1,45.9,14.0,97.40,1999
Denver Nuggets,82,35,47,3971,100.8,102.8,-2.0,17.2,29.2,71.6,50.2,15.9,97.40,1999
Boston Celtics,82,35,47,3946,102.0,103.0,-1.0,15.9,30.4,73.8,51.0,15.8,97.10,1999
Houston Rockets,82,34,48,3966,101.6,103.1,-1.5,16.3,29.1,71.6,50.8,17.8,96.80,1999
Cleveland Cavaliers,82,32,50,3971,97.9,100.9,-3.0,17.3,28.1,71.2,49.4,17.6,98.40,1999
New Jersey Nets,82,31,51,3966,102.3,103.3,-1.0,15.8,28.1,67.2,47.0,14.2,95.10,1999
Washington Wizards,82,29,53,3961,100.7,104.1,-3.4,16.4,30.6,71.7,50.9,16.8,95.30,1999
Atlanta Hawks,82,28,54,3966,99.2,104.8,-5.7,14.6,31.7,71.0,51.3,16.2,94.40,1999
Vancouver Grizzlies,82,22,60,3971,99.7,105.3,-5.6,16.2,30.1,70.6,50.2,17.9,93.50,1999
Golden State Warriors,82,19,63,3951,96.9,105.8,-8.9,16.3,32.6,69.1,49.7,16.1,98.00,1999
Chicago Bulls,82,17,65,3961,91.2,102.3,-11.1,15.8,29.9,69.9,49.5,20.4,92.00,1999
Los Angeles Clippers,82,15,67,3940,95.2,107.3,-12.2,14.2,26.1,69.6,47.1,16.7,96.50,1999
San Antonio Spurs,50,37,13,2415,101.3,92.1,9.2,17.4,30.4,69.5,51.1,16.6,91.20,1998
Utah Jazz,50,37,13,2435,102.7,95.5,7.2,19.0,30.0,70.4,51.7,17.9,89.60,1998
Portland Trail Blazers,50,35,15,2435,101.4,94.9,6.6,16.6,31.8,71.8,52.5,16.5,92.10,1998
Orlando Magic,50,33,17,2410,96.7,95.3,1.4,16.6,32.6,70.8,51.4,17.7,91.40,1998
Indiana Pacers,50,33,17,2420,105.6,101.0,4.6,16.4,28.7,69.9,49.7,14.5,89.10,1998
Miami Heat,50,33,17,2405,102.0,96.0,6.0,17.1,27.3,71.0,50.7,17.1,87.20,1998
Los Angeles Lakers,50,31,19,2410,104.6,101.2,3.3,16.9,30.5,70.2,50.8,15.9,94.30,1998
Houston Rockets,50,31,19,2415,102.5,100.1,2.4,16.9,27.8,69.9,50.3,17.7,91.30,1998
Atlanta Hawks,50,31,19,2415,96.9,93.9,3.0,13.0,33.0,72.1,52.7,16.7,88.40,1998
Detroit Pistons,50,29,21,2410,101.2,97.9,3.3,16.4,30.5,72.0,51.2,17.7,88.70,1998
Philadelphia 76ers,50,28,22,2430,96.8,94.6,2.2,14.7,34.2,69.8,51.6,17.8,91.40,1998
Milwaukee Bucks,50,28,22,2410,102.4,99.5,2.9,16.8,29.0,67.6,48.5,16.1,89.60,1998
Sacramento Kings,50,27,23,2440,99.9,100.0,-0.1,16.4,30.6,67.7,49.3,16.8,98.80,1998
Phoenix Suns,50,27,23,2410,103.4,99.9,3.5,19.1,28.4,69.8,48.7,14.7,92.60,1998
New York Knicks,50,27,23,2420,96.2,94.3,1.9,15.9,27.9,71.0,50.2,17.9,89.50,1998
Charlotte Hornets,50,26,24,2430,100.0,99.2,0.8,17.6,24.4,69.5,47.9,17.1,92.10,1998
Minnesota Timberwolves,50,25,25,2405,98.5,98.2,0.4,18.1,32.5,70.2,49.9,13.6,94.10,1998
Seattle SuperSonics,50,25,25,2420,101.8,103.3,-1.6,16.7,31.9,68.6,50.0,16.4,92.30,1998
Toronto Raptors,50,23,27,2415,98.8,100.5,-1.7,16.1,33.8,70.2,51.8,17.3,91.70,1998
Cleveland Cavaliers,50,22,28,2410,96.7,98.5,-1.9,17.9,25.1,69.0,47.3,17.6,89.10,1998
Golden State Warriors,50,21,29,2425,95.1,98.7,-3.6,15.8,35.2,70.4,52.4,16.5,91.50,1998
Boston Celtics,50,19,31,2430,97.6,99.7,-2.1,16.3,30.6,69.4,49.4,16.9,94.00,1998
Dallas Mavericks,50,19,31,2415,99.3,102.2,-2.9,14.7,29.8,69.1,49.3,15.0,91.60,1998
Washington Wizards,50,18,32,2410,98.3,101.0,-2.7,16.8,28.2,69.5,48.4,15.9,92.20,1998
New Jersey Nets,50,16,34,2410,96.3,100.6,-4.4,14.3,31.1,69.7,49.4,15.8,94.30,1998
Denver Nuggets,50,14,36,2405,100.2,106.8,-6.5,15.3,30.1,69.2,49.0,15.8,93.30,1998
Chicago Bulls,50,13,37,2414,89.8,100.1,-10.2,16.4,26.8,71.7,48.1,17.0,90.70,1998
Los Angeles Clippers,50,9,41,2425,96.6,107.0,-10.4,13.2,30.6,66.9,47.7,17.0,92.20,1998
Vancouver Grizzlies,50,8,42,2435,95.4,105.1,-9.6,15.3,30.9,66.9,48.6,18.2,91.60,1998
Chicago Bulls,82,62,20,3971,104.1,96.7,7.3,18.0,35.7,70.6,53.1,15.5,92.00,1997
Utah Jazz,82,62,20,3956,109.3,102.3,7.0,19.4,32.3,71.0,52.9,16.6,91.90,1997
Los Angeles Lakers,82,61,21,3966,109.2,100.7,8.5,18.1,31.6,68.8,50.6,15.9,96.10,1997
Seattle SuperSonics,82,61,21,3951,108.5,100.4,8.1,18.7,28.7,66.1,47.7,15.1,92.50,1997
Indiana Pacers,82,58,24,3966,105.6,98.4,7.2,18.3,27.9,67.8,48.9,15.7,90.50,1997
Phoenix Suns,82,56,26,3991,104.5,98.8,5.7,19.3,29.7,70.0,50.4,15.8,94.10,1997
San Antonio Spurs,82,56,26,3966,101.5,96.2,5.3,17.7,30.6,72.2,52.7,17.6,90.90,1997
Miami Heat,82,55,27,3951,104.6,98.7,5.9,17.0,31.5,69.6,51.2,16.5,90.60,1997
Charlotte Hornets,82,51,31,3956,104.7,102.7,2.0,18.3,30.4,70.8,50.8,16.5,91.80,1997
Atlanta Hawks,82,50,32,3976,105.1,100.8,4.3,15.3,33.9,69.1,52.1,16.2,90.50,1997
Cleveland Cavaliers,82,47,35,3966,99.3,96.0,3.3,17.8,30.0,71.1,50.8,18.6,92.60,1997
Portland Trail Blazers,82,46,36,3966,100.8,99.5,1.3,16.6,33.0,71.4,52.9,18.0,92.80,1997
Minnesota Timberwolves,82,45,37,3986,104.8,103.6,1.2,18.6,30.6,68.5,49.8,14.4,95.50,1997
New Jersey Nets,82,43,39,3976,104.8,103.3,1.4,15.3,36.7,66.4,50.6,15.1,94.00,1997
New York Knicks,82,43,39,3966,100.4,97.1,3.3,17.3,29.5,74.0,51.6,16.7,90.80,1997
Washington Wizards,82,42,40,3961,102.2,101.6,0.6,17.5,31.2,69.5,49.7,14.8,94.50,1997
Houston Rockets,82,41,41,3966,104.4,105.6,-1.2,16.9,29.8,69.3,49.8,16.7,93.70,1997
Orlando Magic,82,41,41,3966,98.8,100.9,-2.1,16.3,34.2,66.9,50.2,16.8,90.10,1997
Detroit Pistons,82,37,45,3991,102.5,100.4,2.1,15.5,30.9,70.2,50.4,15.9,90.80,1997
Boston Celtics,82,36,46,3946,99.1,102.6,-3.5,16.5,32.8,66.8,48.4,16.8,96.10,1997
Milwaukee Bucks,82,36,46,3986,100.6,102.4,-1.8,15.7,31.4,69.1,50.1,18.0,92.80,1997
Philadelphia 76ers,82,31,51,3951,99.7,102.7,-3.0,16.3,32.5,67.3,49.7,17.7,93.00,1997
Sacramento Kings,82,27,55,3946,98.1,103.8,-5.7,17.0,30.2,66.6,47.9,16.3,94.80,1997
Dallas Mavericks,82,20,62,3981,97.4,104.4,-7.0,14.9,27.6,65.1,46.0,15.4,92.60,1997
Vancouver Grizzlies,82,19,63,3966,101.1,109.3,-8.2,17.9,31.4,66.9,49.2,17.9,94.60,1997
Golden State Warriors,82,19,63,3966,92.7,102.8,-10.1,15.7,33.7,68.6,50.6,17.5,94.20,1997
Los Angeles Clippers,82,17,65,3956,99.9,108.3,-8.4,14.6,29.6,66.1,47.7,16.8,95.20,1997
Toronto Raptors,82,16,66,3986,98.5,107.7,-9.2,16.0,32.1,62.9,46.9,17.3,95.40,1997
Denver Nuggets,82,11,71,3946,95.7,109.1,-13.4,15.0,30.2,66.3,47.8,17.2,92.50,1997
Chicago Bulls,82,69,13,3946,111.1,99.2,12.0,19.4,35.9,69.3,52.9,14.6,92.70,1996
Utah Jazz,82,64,18,3966,110.5,101.6,9.0,20.4,29.7,71.6,51.9,16.5,92.40,1996
