TEAM,GP,W,L,MIN,"%FGA
2PT","%FGA
3PT","%PTS
2PT","%PTS
2PT- MR","%PTS
3PT","%PTS
FBPS","%PTS
FT","%PTS
OFFTO","%PTS
PITP","2FGM
%AST","2FGM
%UAST","3FGM
%AST","3FGM
%UAST","FGM
%AST","FGM
%UAST",Season
Sacramento Kings,82,48,34,48.4,57.7,42.3,49.4,6.1,34.2,12.4,16.4,14.5,43.3,50.5,49.5,88.8,11.2,62.6,37.4,2022
New York Knicks,82,47,35,48.7,60.0,40.0,50.6,5.7,32.7,11.0,16.7,13.5,44.9,42.8,57.2,82.0,18.0,54.6,45.4,2022
Brooklyn Nets,82,45,37,48.1,60.3,39.7,50.6,11.7,33.8,13.0,15.6,14.5,38.8,52.5,47.5,82.0,18.0,61.6,38.4,2022
Phoenix Suns,82,45,37,48.2,63.8,36.2,52.6,12.1,32.2,9.3,15.2,15.1,40.5,56.2,43.8,85.6,14.4,64.7,35.3,2022
Golden State Warriors,82,44,38,48.4,52.1,47.9,44.6,6.9,41.9,12.2,13.5,14.8,37.7,60.6,39.4,82.8,17.2,69.1,30.9,2022
LA Clippers,82,44,38,48.4,61.3,38.7,50.0,9.9,33.5,11.4,16.5,14.1,40.1,46.7,53.3,83.8,16.2,58.1,41.9,2022
Miami Heat,82,44,38,48.3,59.2,40.8,49.8,7.4,32.8,10.5,17.5,16.6,42.4,51.7,48.3,81.6,18.4,60.8,39.2,2022
Los Angeles Lakers,82,43,39,48.5,64.9,35.1,54.8,8.2,27.6,14.3,17.6,12.0,46.5,50.2,49.8,84.9,15.1,58.9,41.1,2022
Minnesota Timberwolves,82,42,40,48.4,61.9,38.1,53.0,6.2,31.5,12.7,15.5,15.5,46.9,53.9,46.1,79.0,21.0,61.0,39.0,2022
New Orleans Pelicans,82,42,40,48.4,65.6,34.4,54.3,7.7,28.8,12.9,16.9,15.9,46.7,51.7,48.3,89.4,10.6,61.6,38.4,2022
Atlanta Hawks,82,41,41,48.4,66.9,33.1,57.2,11.3,27.2,11.3,15.6,14.4,45.8,49.5,50.5,76.5,23.5,56.0,44.0,2022
Toronto Raptors,82,41,41,48.3,64.9,35.1,55.2,8.3,28.5,15.8,16.3,18.6,46.9,48.2,51.8,83.0,17.0,57.1,42.9,2022
Chicago Bulls,82,40,42,48.5,66.7,33.3,56.8,14.0,27.6,12.3,15.6,16.2,42.8,47.4,52.6,88.6,11.4,57.5,42.5,2022
Oklahoma City Thunder,82,40,42,48.4,63.1,36.9,52.7,5.7,31.0,12.4,16.3,17.6,47.0,44.4,55.6,87.9,12.1,56.7,43.3,2022
Dallas Mavericks,82,38,44,48.6,51.3,48.7,43.5,6.0,39.9,9.7,16.6,14.0,37.5,44.8,55.2,77.6,22.4,57.3,42.7,2022
Utah Jazz,82,37,45,48.3,57.9,42.1,49.8,4.4,34.2,10.2,16.0,13.0,45.4,50.0,50.0,85.4,14.6,61.1,38.9,2022
Indiana Pacers,82,35,47,48.2,58.7,41.3,48.9,6.3,35.0,15.5,16.1,14.8,42.6,55.4,44.6,82.7,17.3,64.3,35.7,2022
Washington Wizards,82,35,47,48.2,63.5,36.5,54.6,9.3,29.9,10.5,15.5,13.1,45.3,50.8,49.2,86.2,13.8,60.3,39.7,2022
Orlando Magic,82,34,48,48.2,63.9,36.1,53.4,8.5,29.0,11.5,17.6,15.7,44.9,47.0,53.0,85.8,14.2,57.4,42.6,2022
Portland Trail Blazers,82,33,49,48.1,58.7,41.3,48.6,6.6,34.1,12.5,17.3,14.4,42.1,50.9,49.1,78.6,21.4,59.7,40.3,2022
Charlotte Hornets,82,27,55,48.4,64.0,36.0,55.0,7.2,29.1,13.8,15.9,15.6,47.8,53.6,46.4,81.7,18.3,60.9,39.1,2022
Houston Rockets,82,22,60,48.2,64.1,35.9,54.5,4.9,28.3,11.7,17.3,14.1,49.5,47.7,52.3,76.6,23.4,55.1,44.9,2022
San Antonio Spurs,82,22,60,48.4,65.2,34.8,56.6,7.4,29.5,11.9,13.9,13.9,49.2,53.0,47.0,92.4,7.6,63.2,36.8,2022
Detroit Pistons,82,17,65,48.3,62.8,37.2,51.1,8.9,31.0,10.6,17.9,14.5,42.2,47.5,52.5,84.3,15.7,58.1,41.9,2022
Phoenix Suns,82,64,18,48.1,64.6,35.4,55.9,12.5,30.3,10.9,13.8,15.7,43.3,55.2,44.8,83.2,16.8,62.7,37.3,2021
Memphis Grizzlies,82,56,26,48.2,65.4,34.6,55.4,5.6,29.9,15.3,14.7,15.8,49.8,50.4,49.6,85.4,14.6,59.7,40.3,2021
Golden State Warriors,82,53,29,48.1,54.4,45.6,47.2,6.9,38.8,12.4,14.1,15.9,40.2,59.5,40.5,80.4,19.6,66.9,33.1,2021
Miami Heat,82,53,29,48.4,57.8,42.2,47.3,8.2,37.0,9.9,15.7,15.7,39.1,53.7,46.3,84.9,15.1,64.4,35.6,2021
Dallas Mavericks,82,52,30,48.2,56.1,43.9,48.5,8.8,36.3,9.3,15.1,13.8,39.7,50.2,49.8,78.3,21.7,59.5,40.5,2021
Boston Celtics,82,51,31,48.5,57.5,42.5,49.2,7.6,35.5,9.9,15.2,14.6,41.6,51.2,48.8,81.3,18.7,60.9,39.1,2021
Milwaukee Bucks,82,51,31,48.2,57.0,43.0,48.1,9.1,36.5,11.4,15.4,13.0,38.9,46.1,53.9,78.9,21.1,57.2,42.8,2021
Philadelphia 76ers,82,51,31,48.3,62.4,37.6,50.6,9.7,31.6,11.1,17.8,14.3,40.9,50.5,49.5,83.5,16.5,60.2,39.8,2021
Utah Jazz,82,49,33,48.1,53.2,46.8,45.8,3.7,38.4,8.9,15.8,13.0,42.1,45.4,54.6,72.7,27.3,55.2,44.8,2021
Denver Nuggets,82,48,34,48.3,58.4,41.6,51.4,7.7,33.7,12.0,14.8,13.8,43.7,58.4,41.6,85.7,14.3,66.7,33.3,2021
Toronto Raptors,82,48,34,48.4,62.5,37.5,52.5,9.4,32.7,14.5,14.8,17.3,43.1,43.4,56.6,80.4,19.6,54.3,45.7,2021
