,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
25,Gregg Popovich,SAS,2,2,82,56,26,146,73,73,146,0.5,9.0,0.4444444444444444,1997
26,George Karl,SEA,7,11,82,61,21,534,384,150,829,0.607,94.0,0.4787234042553192,1997
27,Darrell Walker,TOR,2,2,49,11,38,131,41,90,131,0.313,,,1997
28,Butch Carter,TOR,1,1,33,5,28,33,5,28,33,0.152,,,1997
29,Jerry Sloan,UTA,10,13,82,62,20,803,545,258,1018,0.628,123.0,0.5284552845528455,1997
30,Brian Hill,VAN,1,5,82,19,63,82,19,63,377,0.557,36.0,0.5,1997
31,Bernie Bickerstaff,WAS,2,9,82,42,40,117,64,53,654,0.497,33.0,0.36363636363636365,1997
0,Lenny Wilkens,ATL,6,26,50,31,19,460,282,178,2078,0.554,157.0,0.4585987261146497,1998
1,Rick Pitino,BOS,2,4,50,19,31,132,55,77,296,0.49,13.0,0.46153846153846156,1998
2,Dave Cowens,CHH,3,4,15,4,11,179,109,70,247,0.551,12.0,0.3333333333333333,1998
3,Paul Silas,CHH,1,4,35,22,13,35,22,13,281,0.356,,,1998
4,Tim Floyd,CHI,1,1,50,13,37,50,13,37,50,0.26,,,1998
5,Mike Fratello,CLE,6,14,50,22,28,460,248,212,1037,0.552,54.0,0.37037037037037035,1998
6,Don Nelson,DAL,2,21,50,19,31,116,35,81,1596,0.555,112.0,0.45535714285714285,1998
7,Mike D'Antoni,DEN,1,1,50,14,36,50,14,36,50,0.28,,,1998
8,Alvin Gentry,DET,2,3,50,29,21,87,45,42,123,0.488,5.0,0.4,1998
9,P.J. Carlesimo,GSW,2,5,50,21,29,132,40,92,378,0.468,12.0,0.25,1998
10,Rudy Tomjanovich,HOU,8,8,50,31,19,572,353,219,572,0.617,90.0,0.5666666666666667,1998
11,Larry Bird,IND,2,2,50,33,17,132,91,41,132,0.689,29.0,0.6551724137931034,1998
12,Chris Ford,LAC,1,8,50,9,41,50,9,41,624,0.481,29.0,0.4482758620689655,1998
13,Del Harris,LAL,5,14,12,6,6,340,224,116,1013,0.549,88.0,0.4318181818181818,1998
14,Bill Bertka,LAL,2,2,1,1,0,3,2,1,3,0.667,,,1998
15,Kurt Rambis,LAL,1,1,37,24,13,37,24,13,37,0.649,8.0,0.375,1998
16,Pat Riley,MIA,4,17,50,33,17,296,191,105,1351,0.701,242.0,0.6157024793388429,1998
17,George Karl,MIL,1,12,50,28,22,50,28,22,879,0.604,97.0,0.4639175257731959,1998
18,Flip Saunders,MIN,4,4,50,25,25,276,130,146,276,0.471,12.0,0.25,1998
19,John Calipari,NJN,3,3,20,3,17,184,72,112,184,0.391,3.0,0.0,1998
20,Don Casey,NJN,1,3,30,13,17,30,13,17,156,0.346,,,1998
21,Jeff Van Gundy,NYK,4,4,50,27,23,237,140,97,237,0.591,48.0,0.5416666666666666,1998
22,Chuck Daly,ORL,2,14,50,33,17,132,74,58,1075,0.593,126.0,0.5952380952380952,1998
23,Larry Brown,PHI,2,20,50,28,22,132,59,73,1572,0.58,133.0,0.48120300751879697,1998
24,Danny Ainge,PHO,3,3,50,27,23,206,123,83,206,0.597,12.0,0.25,1998
25,Mike Dunleavy,POR,2,8,50,35,15,132,81,51,624,0.463,40.0,0.525,1998
26,Rick Adelman,SAC,1,9,50,27,23,50,27,23,659,0.583,74.0,0.5135135135135135,1998
27,Gregg Popovich,SAS,3,3,50,37,13,196,110,86,196,0.561,26.0,0.7307692307692307,1998
28,Paul Westphal,SEA,1,5,50,25,25,50,25,25,329,0.657,44.0,0.5681818181818182,1998
29,Butch Carter,TOR,2,2,50,23,27,83,28,55,83,0.337,,,1998
30,Jerry Sloan,UTA,11,14,50,37,13,853,582,271,1068,0.633,134.0,0.5223880597014925,1998
31,Brian Hill,VAN,2,6,50,8,42,132,27,105,427,0.511,36.0,0.5,1998
32,Bernie Bickerstaff,WAS,3,10,32,13,19,149,77,72,686,0.493,33.0,0.36363636363636365,1998
33,Jim Brovelli,WAS,1,1,18,5,13,18,5,13,18,0.278,,,1998
0,Lenny Wilkens,ATL,7,27,82,28,54,542,310,232,2160,0.546,157.0,0.4585987261146497,1999
1,Rick Pitino,BOS,3,5,82,35,47,214,90,124,378,0.476,13.0,0.46153846153846156,1999
2,Paul Silas,CHH,2,5,82,49,33,117,71,46,363,0.41,4.0,0.25,1999
3,Tim Floyd,CHI,2,2,82,17,65,132,30,102,132,0.227,,,1999
4,Randy Wittman,CLE,1,1,82,32,50,82,32,50,82,0.39,,,1999
5,Don Nelson,DAL,3,22,82,40,42,198,75,123,1678,0.552,112.0,0.45535714285714285,1999
6,Dan Issel,DEN,4,4,82,35,47,280,131,149,280,0.468,12.0,0.5,1999
7,Alvin Gentry,DET,3,4,58,28,30,145,73,72,181,0.486,5.0,0.4,1999
8,George Irvine,DET,1,4,24,14,10,24,14,10,208,0.327,3.0,0.0,1999
9,P.J. Carlesimo,GSW,3,6,27,6,21,159,46,113,405,0.452,12.0,0.25,1999
10,Garry St. Jean,GSW,1,6,55,13,42,55,13,42,450,0.382,4.0,0.25,1999
11,Rudy Tomjanovich,HOU,9,9,82,34,48,654,387,267,654,0.592,90.0,0.5666666666666667,1999
12,Larry Bird,IND,3,3,82,56,26,214,147,67,214,0.687,52.0,0.6153846153846154,1999
13,Chris Ford,LAC,2,9,45,11,34,95,20,75,669,0.465,29.0,0.4482758620689655,1999
14,Jim Todd,LAC,1,1,37,4,33,37,4,33,37,0.108,,,1999
15,Phil Jackson,LAL,1,10,82,67,15,82,67,15,820,0.746,175.0,0.72,1999
16,Pat Riley,MIA,5,18,82,52,30,378,243,135,1433,0.697,252.0,0.6150793650793651,1999
17,George Karl,MIL,2,13,82,42,40,132,70,62,961,0.596,102.0,0.46078431372549017,1999
18,Flip Saunders,MIN,5,5,82,50,32,358,180,178,358,0.503,16.0,0.25,1999
19,Don Casey,NJN,2,4,82,31,51,112,44,68,238,0.357,,,1999
20,Jeff Van Gundy,NYK,5,5,82,50,32,319,190,129,319,0.596,64.0,0.546875,1999
21,Doc Rivers,ORL,1,1,82,41,41,82,41,41,82,0.5,,,1999
22,Larry Brown,PHI,3,21,82,49,33,214,108,106,1654,0.581,143.0,0.4825174825174825,1999
23,Danny Ainge,PHO,4,4,20,13,7,226,136,90,226,0.602,12.0,0.25,1999
24,Scott Skiles,PHO,1,1,62,40,22,62,40,22,62,0.645,9.0,0.4444444444444444,1999
25,Mike Dunleavy,POR,3,9,82,59,23,214,140,74,706,0.493,56.0,0.5535714285714286,1999
26,Rick Adelman,SAC,2,10,82,44,38,132,71,61,741,0.578,79.0,0.5063291139240507,1999
27,Gregg Popovich,SAS,4,4,82,53,29,278,163,115,278,0.586,30.0,0.6666666666666666,1999
28,Paul Westphal,SEA,2,6,82,45,37,132,70,62,411,0.635,49.0,0.5510204081632653,1999
29,Butch Carter,TOR,3,3,82,45,37,165,73,92,165,0.442,3.0,0.0,1999
30,Jerry Sloan,UTA,12,15,82,55,27,935,637,298,1150,0.636,144.0,0.5138888888888888,1999
31,Brian Hill,VAN,3,7,22,4,18,154,31,123,449,0.494,36.0,0.5,1999
32,Lionel Hollins,VAN,1,1,60,18,42,60,18,42,60,0.3,,,1999
33,Gar Heard,WAS,1,2,44,14,30,44,14,30,97,0.237,,,1999
34,Darrell Walker,WAS,1,3,38,15,23,38,15,23,169,0.331,,,1999
0,Lon Kruger,ATL,1,1,82,25,57,82,25,57,82,0.305,,,2000
1,Rick Pitino,BOS,4,6,34,12,22,248,102,146,412,0.466,13.0,0.46153846153846156,2000
2,Jim O'Brien,BOS,1,1,48,24,24,48,24,24,48,0.5,,,2000
3,Paul Silas,CHH,3,6,82,46,36,199,117,82,445,0.438,14.0,0.5,2000
4,Tim Floyd,CHI,3,3,82,15,67,214,45,169,214,0.21,,,2000
5,Randy Wittman,CLE,2,2,82,30,52,164,62,102,164,0.378,,,2000
6,Don Nelson,DAL,4,23,82,53,29,280,128,152,1760,0.556,122.0,0.45081967213114754,2000
7,Dan Issel,DEN,5,5,82,40,42,362,171,191,362,0.472,12.0,0.5,2000
8,George Irvine,DET,2,5,82,32,50,106,46,60,290,0.345,3.0,0.0,2000
9,Dave Cowens,GSW,1,5,82,17,65,82,17,65,329,0.465,12.0,0.3333333333333333,2000
10,Rudy Tomjanovich,HOU,10,10,82,45,37,736,432,304,736,0.587,90.0,0.5666666666666667,2000
11,Isiah Thomas,IND,1,1,82,41,41,82,41,41,82,0.5,4.0,0.25,2000
12,Alvin Gentry,LAC,1,5,82,31,51,82,31,51,263,0.452,5.0,0.4,2000
13,Phil Jackson,LAL,2,11,82,56,26,164,123,41,902,0.741,191.0,0.7382198952879581,2000
14,Pat Riley,MIA,6,19,82,50,32,460,293,167,1515,0.692,255.0,0.6078431372549019,2000
15,George Karl,MIL,3,14,82,52,30,214,122,92,1043,0.599,120.0,0.475,2000
16,Flip Saunders,MIN,6,6,82,47,35,440,227,213,440,0.516,20.0,0.25,2000
17,Byron Scott,NJN,1,1,82,26,56,82,26,56,82,0.317,,,2000
18,Jeff Van Gundy,NYK,6,6,82,48,34,401,238,163,401,0.594,69.0,0.5362318840579711,2000
19,Doc Rivers,ORL,2,2,82,43,39,164,84,80,164,0.512,4.0,0.25,2000
20,Larry Brown,PHI,4,22,82,56,26,296,164,132,1736,0.586,166.0,0.4879518072289157,2000
21,Scott Skiles,PHO,2,2,82,51,31,144,91,53,144,0.632,13.0,0.38461538461538464,2000
22,Mike Dunleavy,POR,4,10,82,50,32,296,190,106,788,0.505,59.0,0.5254237288135594,2000
23,Rick Adelman,SAC,3,11,82,55,27,214,126,88,823,0.587,87.0,0.4942528735632184,2000
24,Gregg Popovich,SAS,5,5,82,58,24,360,221,139,360,0.614,43.0,0.627906976744186,2000
25,Paul Westphal,SEA,3,7,15,6,9,147,76,71,426,0.627,49.0,0.5510204081632653,2000
26,Nate McMillan,SEA,1,1,67,38,29,67,38,29,67,0.567,,,2000
27,Lenny Wilkens,TOR,1,28,82,47,35,82,47,35,2242,0.547,169.0,0.46153846153846156,2000
28,Jerry Sloan,UTA,13,16,82,53,29,1017,690,327,1232,0.636,149.0,0.5100671140939598,2000
29,Sidney Lowe,VAN,1,3,82,23,59,82,23,59,217,0.258,,,2000
30,Leonard Hamilton,WAS,1,1,82,19,63,82,19,63,82,0.232,,,2000
0,Lon Kruger,ATL,2,2,82,33,49,164,58,106,164,0.354,,,2001
1,Jim O'Brien,BOS,2,2,82,49,33,130,73,57,130,0.562,16.0,0.5625,2001
2,Paul Silas,CHH,4,7,82,44,38,281,161,120,527,0.454,23.0,0.4782608695652174,2001
3,Tim Floyd,CHI,4,4,25,4,21,239,49,190,239,0.205,,,2001
4,Bill Berry,CHI,1,1,2,0,2,2,0,2,2,0.0,,,2001
5,Bill Cartwright,CHI,1,1,55,17,38,55,17,38,55,0.309,,,2001
6,John Lucas,CLE,1,5,82,29,53,82,29,53,389,0.424,14.0,0.42857142857142855,2001
7,Don Nelson,DAL,5,24,82,57,25,362,185,177,1842,0.562,130.0,0.45384615384615384,2001
8,Dan Issel,DEN,6,6,26,9,17,388,180,208,388,0.464,12.0,0.5,2001
9,Mike Evans,DEN,1,1,56,18,38,56,18,38,56,0.321,,,2001
10,Rick Carlisle,DET,1,1,82,50,32,82,50,32,82,0.61,10.0,0.4,2001
11,Dave Cowens,GSW,2,6,23,8,15,105,25,80,352,0.457,12.0,0.3333333333333333,2001
12,Brian Winters,GSW,1,3,59,13,46,59,13,46,184,0.196,,,2001
13,Rudy Tomjanovich,HOU,11,11,82,28,54,818,460,358,818,0.562,90.0,0.5666666666666667,2001
14,Isiah Thomas,IND,2,2,82,42,40,164,83,81,164,0.506,9.0,0.3333333333333333,2001
15,Alvin Gentry,LAC,2,6,82,39,43,164,70,94,345,0.458,5.0,0.4,2001
16,Phil Jackson,LAL,3,12,82,58,24,246,181,65,984,0.738,210.0,0.7428571428571429,2001
17,Sidney Lowe,MEM,2,4,82,23,59,164,46,118,299,0.264,,,2001
18,Pat Riley,MIA,7,20,82,36,46,542,329,213,1597,0.679,255.0,0.6078431372549019,2001
19,George Karl,MIL,4,15,82,41,41,296,163,133,1125,0.592,120.0,0.475,2001
20,Flip Saunders,MIN,7,7,82,50,32,522,277,245,522,0.531,23.0,0.21739130434782608,2001
21,Byron Scott,NJN,2,2,82,52,30,164,78,86,164,0.476,20.0,0.55,2001
22,Jeff Van Gundy,NYK,7,7,19,10,9,420,248,172,420,0.59,69.0,0.5362318840579711,2001
23,Don Chaney,NYK,1,10,63,20,43,63,20,43,710,0.401,11.0,0.18181818181818182,2001
24,Doc Rivers,ORL,3,3,82,44,38,246,128,118,246,0.52,8.0,0.25,2001
25,Larry Brown,PHI,5,23,82,43,39,378,207,171,1818,0.583,171.0,0.4853801169590643,2001
26,Scott Skiles,PHO,3,3,51,25,26,195,116,79,195,0.595,13.0,0.38461538461538464,2001
27,Frank Johnson,PHO,1,1,31,11,20,31,11,20,31,0.355,,,2001
28,Maurice Cheeks,POR,1,1,82,49,33,82,49,33,82,0.598,3.0,0.0,2001
29,Rick Adelman,SAC,4,12,82,61,21,296,187,109,905,0.601,103.0,0.5145631067961165,2001
30,Gregg Popovich,SAS,6,6,82,58,24,442,279,163,442,0.631,53.0,0.5849056603773585,2001
31,Nate McMillan,SEA,2,2,82,45,37,149,83,66,149,0.557,5.0,0.4,2001
32,Lenny Wilkens,TOR,2,29,82,42,40,164,89,75,2324,0.546,174.0,0.45977011494252873,2001
