,Coach,TEAM,N_Seasons_TEAM,N_Seasons_Overall,RS_G_Current,RS_W_Current,RS_L_Current,RS_G_TEAM,RS_W_TEAM,RS_L_TEAM,RS_G_Overall,RS_W_Perc_Overall,P_G_Overall,P_W_Perc,Season
2,Bernie Bickerstaff,CHA,1,11,82,18,64,82,18,64,768,0.464,33.0,0.36363636363636365,2004
3,Scott Skiles,CHI,2,5,82,47,35,148,66,82,343,0.531,19.0,0.3684210526315789,2004
4,Paul Silas,CLE,2,10,64,34,30,146,69,77,755,0.47,29.0,0.4482758620689655,2004
5,Brendan Malone,CLE,1,2,18,8,10,18,8,10,100,0.29,,,2004
6,Don Nelson,DAL,8,27,64,42,22,590,339,251,2070,0.575,155.0,0.45161290322580644,2004
7,Avery Johnson,DAL,1,1,18,16,2,18,16,2,18,0.889,13.0,0.46153846153846156,2004
8,Jeff Bzdelik,DEN,3,3,28,13,15,192,73,119,192,0.38,5.0,0.2,2004
9,Michael Cooper,DEN,1,1,14,4,10,14,4,10,14,0.286,,,2004
10,George Karl,DEN,1,17,40,32,8,40,32,8,1247,0.593,131.0,0.4580152671755725,2004
11,Larry Brown,DET,2,26,82,54,28,164,108,56,2064,0.589,231.0,0.5194805194805194,2004
12,Mike Montgomery,GSW,1,1,82,34,48,82,34,48,82,0.415,,,2004
13,Jeff Van Gundy,HOU,2,9,82,51,31,164,96,68,584,0.589,81.0,0.5061728395061729,2004
14,Rick Carlisle,IND,2,4,82,44,38,164,105,59,328,0.625,56.0,0.5,2004
15,Mike Dunleavy,LAC,2,12,82,37,45,164,65,99,952,0.486,59.0,0.5254237288135594,2004
16,Rudy Tomjanovich,LAL,1,13,43,24,19,43,24,19,943,0.559,90.0,0.5666666666666667,2004
17,Frank Hamblen,LAL,1,2,39,10,29,39,10,29,104,0.317,,,2004
18,Hubie Brown,MEM,3,15,12,5,7,168,83,85,1087,0.486,63.0,0.49206349206349204,2004
19,Lionel Hollins,MEM,2,2,4,0,4,64,18,46,64,0.281,,,2004
20,Mike Fratello,MEM,1,15,66,40,26,66,40,26,1103,0.555,58.0,0.3448275862068966,2004
21,Stan Van Gundy,MIA,2,2,82,59,23,164,101,63,164,0.616,28.0,0.6071428571428571,2004
22,Terry Porter,MIL,2,2,82,30,52,164,71,93,164,0.433,5.0,0.2,2004
23,Flip Saunders,MIN,10,10,51,25,26,737,411,326,737,0.558,47.0,0.3617021276595745,2004
24,Kevin McHale,MIN,1,1,31,19,12,31,19,12,31,0.613,,,2004
25,Lawrence Frank,NJN,2,2,82,42,40,122,67,55,122,0.549,15.0,0.4666666666666667,2004
26,Byron Scott,NOH,1,5,82,18,64,82,18,64,370,0.451,40.0,0.625,2004
27,Lenny Wilkens,NYK,2,32,39,17,22,81,40,41,2487,0.536,178.0,0.449438202247191,2004
28,Herb Williams,NYK,2,2,43,16,27,44,17,27,44,0.386,,,2004
29,Johnny Davis,ORL,2,3,64,31,33,135,51,84,217,0.336,,,2004
30,Chris Jent,ORL,1,1,18,5,13,18,5,13,18,0.278,,,2004
31,Jim O'Brien,PHI,1,5,82,43,39,82,43,39,340,0.535,31.0,0.45161290322580644,2004
32,Mike D'Antoni,PHO,2,3,82,62,20,143,83,60,193,0.503,15.0,0.6,2004
33,Maurice Cheeks,POR,4,4,55,22,33,301,162,139,301,0.538,10.0,0.3,2004
34,Kevin Pritchard,POR,1,1,27,5,22,27,5,22,27,0.185,,,2004
35,Rick Adelman,SAC,7,15,82,50,32,542,351,191,1151,0.615,132.0,0.5151515151515151,2004
36,Gregg Popovich,SAS,9,9,82,59,23,688,455,233,688,0.661,110.0,0.6272727272727273,2004
37,Nate McMillan,SEA,5,5,82,52,30,395,212,183,395,0.537,16.0,0.5,2004
38,Sam Mitchell,TOR,1,1,82,33,49,82,33,49,82,0.402,,,2004
39,Jerry Sloan,UTA,17,20,82,26,56,1345,849,496,1560,0.604,158.0,0.4936708860759494,2004
40,Eddie Jordan,WAS,2,4,82,45,37,164,70,94,261,0.395,10.0,0.4,2004
0,Mike Woodson,ATL,2,2,82,26,56,164,39,125,164,0.238,,,2005
1,Doc Rivers,BOS,2,7,82,33,49,164,78,86,503,0.495,22.0,0.36363636363636365,2005
2,Bernie Bickerstaff,CHA,2,12,82,26,56,164,44,120,850,0.449,33.0,0.36363636363636365,2005
3,Scott Skiles,CHI,3,6,82,41,41,230,107,123,425,0.525,25.0,0.36,2005
4,Mike Brown,CLE,1,1,82,50,32,82,50,32,82,0.61,13.0,0.5384615384615384,2005
5,Avery Johnson,DAL,2,2,82,60,22,100,76,24,100,0.76,36.0,0.5555555555555556,2005
6,George Karl,DEN,2,18,82,44,38,122,76,46,1329,0.59,136.0,0.4485294117647059,2005
7,Flip Saunders,DET,1,11,82,64,18,82,64,18,819,0.58,65.0,0.4153846153846154,2005
8,Mike Montgomery,GSW,2,2,82,34,48,164,68,96,164,0.415,,,2005
9,Jeff Van Gundy,HOU,3,10,82,34,48,246,130,116,666,0.568,81.0,0.5061728395061729,2005
10,Rick Carlisle,IND,3,5,82,41,41,246,146,100,410,0.6,62.0,0.4838709677419355,2005
11,Mike Dunleavy,LAC,3,13,82,47,35,246,112,134,1034,0.493,71.0,0.5352112676056338,2005
12,Phil Jackson,LAL,6,15,82,45,37,492,332,160,1230,0.713,251.0,0.7091633466135459,2005
13,Mike Fratello,MEM,2,16,82,49,33,148,89,59,1185,0.558,62.0,0.3225806451612903,2005
14,Stan Van Gundy,MIA,3,3,21,11,10,185,112,73,185,0.605,28.0,0.6071428571428571,2005
15,Pat Riley,MIA,9,22,61,41,20,685,395,290,1740,0.661,278.0,0.6151079136690647,2005
16,Terry Stotts,MIL,1,3,82,40,42,82,40,42,219,0.42,5.0,0.2,2005
17,Dwane Casey,MIN,1,1,82,33,49,82,33,49,82,0.402,,,2005
18,Lawrence Frank,NJN,3,3,82,49,33,204,116,88,204,0.569,26.0,0.46153846153846156,2005
19,Byron Scott,NOK,2,6,82,38,44,164,56,108,452,0.454,40.0,0.625,2005
20,Larry Brown,NYK,1,27,82,23,59,82,23,59,2146,0.577,231.0,0.5194805194805194,2005
21,Brian Hill,ORL,5,8,82,36,46,377,227,150,531,0.486,36.0,0.5,2005
22,Maurice Cheeks,PHI,1,5,82,38,44,82,38,44,383,0.522,10.0,0.3,2005
23,Mike D'Antoni,PHO,3,4,82,54,28,225,137,88,275,0.549,35.0,0.5428571428571428,2005
24,Nate McMillan,POR,1,6,82,21,61,82,21,61,477,0.488,16.0,0.5,2005
25,Rick Adelman,SAC,8,16,82,44,38,624,395,229,1233,0.61,138.0,0.5072463768115942,2005
26,Gregg Popovich,SAS,10,10,82,63,19,770,518,252,770,0.673,123.0,0.6178861788617886,2005
27,Bob Weiss,SEA,1,7,30,13,17,30,13,17,522,0.427,11.0,0.18181818181818182,2005
28,Bob Hill,SEA,1,8,52,22,30,52,22,30,521,0.536,37.0,0.4594594594594595,2005
29,Sam Mitchell,TOR,2,2,82,27,55,164,60,104,164,0.366,,,2005
30,Jerry Sloan,UTA,18,21,82,41,41,1427,890,537,1642,0.599,158.0,0.4936708860759494,2005
31,Eddie Jordan,WAS,3,5,82,42,40,246,112,134,343,0.423,16.0,0.375,2005
0,Mike Woodson,ATL,3,3,82,30,52,246,69,177,246,0.28,,,2006
1,Doc Rivers,BOS,3,8,82,24,58,246,102,144,585,0.467,22.0,0.36363636363636365,2006
2,Bernie Bickerstaff,CHA,3,13,82,33,49,246,77,169,932,0.445,33.0,0.36363636363636365,2006
3,Scott Skiles,CHI,4,7,82,49,33,312,156,156,507,0.536,35.0,0.42857142857142855,2006
4,Mike Brown,CLE,2,2,82,50,32,164,100,64,164,0.61,33.0,0.5757575757575758,2006
5,Avery Johnson,DAL,3,3,82,67,15,182,143,39,182,0.786,42.0,0.5238095238095238,2006
6,George Karl,DEN,3,19,82,45,37,204,121,83,1411,0.588,141.0,0.4397163120567376,2006
7,Flip Saunders,DET,2,12,82,53,29,164,117,47,901,0.586,81.0,0.4567901234567901,2006
8,Don Nelson,GSW,8,28,82,42,40,619,319,300,2152,0.572,166.0,0.45180722891566266,2006
9,Jeff Van Gundy,HOU,4,11,82,52,30,328,182,146,748,0.575,88.0,0.5,2006
10,Rick Carlisle,IND,4,6,82,35,47,328,181,147,492,0.571,62.0,0.4838709677419355,2006
11,Mike Dunleavy,LAC,4,14,82,40,42,328,152,176,1116,0.493,71.0,0.5352112676056338,2006
12,Phil Jackson,LAL,7,16,82,42,40,574,374,200,1312,0.7,256.0,0.69921875,2006
13,Mike Fratello,MEM,3,17,30,6,24,178,95,83,1215,0.549,62.0,0.3225806451612903,2006
14,Tony Barone,MEM,1,1,52,16,36,52,16,36,52,0.308,,,2006
15,Pat Riley,MIA,10,23,82,44,38,767,439,328,1822,0.656,282.0,0.6063829787234043,2006
16,Terry Stotts,MIL,2,4,64,23,41,146,63,83,283,0.406,5.0,0.2,2006
17,Larry Krystkowiak,MIL,1,1,18,5,13,18,5,13,18,0.278,,,2006
18,Dwane Casey,MIN,2,2,40,20,20,122,53,69,122,0.434,,,2006
19,Randy Wittman,MIN,1,3,42,12,30,42,12,30,206,0.359,,,2006
20,Lawrence Frank,NJN,4,4,82,41,41,286,157,129,286,0.549,38.0,0.47368421052631576,2006
21,Byron Scott,NOK,3,7,82,39,43,246,95,151,534,0.457,40.0,0.625,2006
22,Isiah Thomas,NYK,1,4,82,33,49,82,33,49,328,0.5,15.0,0.3333333333333333,2006
23,Brian Hill,ORL,6,9,82,40,42,459,267,192,613,0.486,40.0,0.45,2006
24,Maurice Cheeks,PHI,2,6,82,35,47,164,73,91,465,0.505,10.0,0.3,2006
25,Mike D'Antoni,PHO,4,5,82,61,21,307,198,109,357,0.594,46.0,0.5434782608695652,2006
26,Nate McMillan,POR,2,7,82,32,50,164,53,111,559,0.474,16.0,0.5,2006
27,Eric Musselman,SAC,1,3,82,33,49,82,33,49,246,0.439,,,2006
28,Gregg Popovich,SAS,11,11,82,58,24,852,576,276,852,0.676,143.0,0.6433566433566433,2006
29,Bob Hill,SEA,2,9,82,31,51,134,53,81,603,0.514,37.0,0.4594594594594595,2006
30,Sam Mitchell,TOR,3,3,82,47,35,246,107,139,246,0.435,6.0,0.3333333333333333,2006
31,Jerry Sloan,UTA,19,22,82,51,31,1509,941,568,1724,0.6,175.0,0.49714285714285716,2006
32,Eddie Jordan,WAS,4,6,82,41,41,328,153,175,425,0.438,20.0,0.3,2006
0,Mike Woodson,ATL,4,4,82,37,45,328,106,222,328,0.323,7.0,0.42857142857142855,2007
1,Doc Rivers,BOS,4,9,82,66,16,328,168,160,667,0.508,48.0,0.5,2007
2,Sam Vincent,CHA,1,1,82,32,50,82,32,50,82,0.39,,,2007
3,Scott Skiles,CHI,5,8,25,9,16,337,165,172,532,0.528,35.0,0.42857142857142855,2007
4,Pete Myers,CHI,2,2,1,0,1,3,0,3,3,0.0,,,2007
5,Jim Boylan,CHI,1,1,56,24,32,56,24,32,56,0.429,,,2007
6,Mike Brown,CLE,3,3,82,45,37,246,145,101,246,0.589,46.0,0.5652173913043478,2007
7,Avery Johnson,DAL,4,4,82,51,31,264,194,70,264,0.735,47.0,0.48936170212765956,2007
8,George Karl,DEN,4,20,82,50,32,286,171,115,1493,0.589,145.0,0.42758620689655175,2007
9,Flip Saunders,DET,3,13,82,59,23,246,176,70,983,0.597,98.0,0.47959183673469385,2007
10,Don Nelson,GSW,9,29,82,48,34,701,367,334,2234,0.573,166.0,0.45180722891566266,2007
11,Rick Adelman,HOU,1,17,82,55,27,82,55,27,1315,0.614,144.0,0.5,2007
12,Jim O'Brien,IND,1,6,82,36,46,82,36,46,422,0.517,31.0,0.45161290322580644,2007
13,Mike Dunleavy,LAC,5,15,82,23,59,410,175,235,1198,0.478,71.0,0.5352112676056338,2007
14,Phil Jackson,LAL,8,17,82,57,25,656,431,225,1394,0.7,277.0,0.6967509025270758,2007
15,Marc Iavaroni,MEM,1,1,82,22,60,82,22,60,82,0.268,,,2007
16,Pat Riley,MIA,11,24,82,15,67,849,454,395,1904,0.636,282.0,0.6063829787234043,2007
17,Larry Krystkowiak,MIL,2,2,82,26,56,100,31,69,100,0.31,,,2007
18,Randy Wittman,MIN,2,4,82,22,60,124,34,90,288,0.333,,,2007
19,Lawrence Frank,NJN,5,5,82,34,48,368,191,177,368,0.519,38.0,0.47368421052631576,2007
20,Byron Scott,NOH,4,8,82,56,26,328,151,177,616,0.487,52.0,0.6153846153846154,2007
21,Isiah Thomas,NYK,2,5,82,23,59,164,56,108,410,0.456,15.0,0.3333333333333333,2007
22,Stan Van Gundy,ORL,1,4,82,52,30,82,52,30,267,0.614,38.0,0.5789473684210527,2007
23,Maurice Cheeks,PHI,3,7,82,40,42,246,113,133,547,0.503,16.0,0.3125,2007
24,Mike D'Antoni,PHO,5,6,82,55,27,389,253,136,439,0.608,51.0,0.5098039215686274,2007
25,Nate McMillan,POR,3,8,82,41,41,246,94,152,641,0.477,16.0,0.5,2007
26,Reggie Theus,SAC,1,1,82,38,44,82,38,44,82,0.463,,,2007
27,Gregg Popovich,SAS,12,12,82,56,26,934,632,302,934,0.677,160.0,0.63125,2007
28,P.J. Carlesimo,SEA,1,7,82,20,62,82,20,62,487,0.417,12.0,0.25,2007
29,Sam Mitchell,TOR,4,4,82,41,41,328,148,180,328,0.451,11.0,0.2727272727272727,2007
30,Jerry Sloan,UTA,20,23,82,54,28,1591,995,596,1806,0.603,187.0,0.49732620320855614,2007
31,Eddie Jordan,WAS,5,7,82,43,39,410,196,214,507,0.452,26.0,0.3076923076923077,2007
0,Mike Woodson,ATL,5,5,82,47,35,410,153,257,410,0.373,18.0,0.3888888888888889,2008
1,Doc Rivers,BOS,5,10,82,62,20,410,230,180,749,0.535,62.0,0.5,2008
2,Larry Brown,CHA,1,28,82,35,47,82,35,47,2228,0.572,231.0,0.5194805194805194,2008
3,Vinny Del Negro,CHI,1,1,82,41,41,82,41,41,82,0.5,7.0,0.42857142857142855,2008
4,Mike Brown,CLE,4,4,82,66,16,328,211,117,328,0.643,60.0,0.6,2008
5,Rick Carlisle,DAL,1,7,82,50,32,82,50,32,574,0.577,72.0,0.4861111111111111,2008
6,George Karl,DEN,5,21,82,54,28,368,225,143,1575,0.592,161.0,0.4472049689440994,2008
7,Michael Curry,DET,1,1,82,39,43,82,39,43,82,0.476,4.0,0.0,2008
8,Don Nelson,GSW,10,30,82,29,53,783,396,387,2316,0.565,166.0,0.45180722891566266,2008
9,Rick Adelman,HOU,2,18,82,53,29,164,108,56,1397,0.616,157.0,0.5031847133757962,2008
10,Jim O'Brien,IND,2,7,82,36,46,164,72,92,504,0.504,31.0,0.45161290322580644,2008
11,Mike Dunleavy,LAC,6,16,82,19,63,492,194,298,1280,0.463,71.0,0.5352112676056338,2008
12,Phil Jackson,LAL,9,18,82,65,17,738,496,242,1476,0.705,300.0,0.6966666666666667,2008
13,Marc Iavaroni,MEM,2,2,41,11,30,123,33,90,123,0.268,,,2008
14,Johnny Davis,MEM,1,4,2,0,2,2,0,2,219,0.333,,,2008
15,Lionel Hollins,MEM,3,3,39,13,26,103,31,72,103,0.301,,,2008
16,Erik Spoelstra,MIA,1,1,82,43,39,82,43,39,82,0.524,7.0,0.42857142857142855,2008
17,Scott Skiles,MIL,1,9,82,34,48,82,34,48,614,0.513,35.0,0.42857142857142855,2008
18,Randy Wittman,MIN,3,5,19,4,15,143,38,105,307,0.326,,,2008
19,Kevin McHale,MIN,2,2,63,20,43,94,39,55,94,0.415,,,2008
20,Lawrence Frank,NJN,6,6,82,34,48,450,225,225,450,0.5,38.0,0.47368421052631576,2008
21,Byron Scott,NOH,5,9,82,49,33,410,200,210,698,0.5,57.0,0.5789473684210527,2008
22,Mike D'Antoni,NYK,1,7,82,32,50,82,32,50,521,0.574,51.0,0.5098039215686274,2008
23,P.J. Carlesimo,OKC,2,8,13,1,12,95,21,74,500,0.408,12.0,0.25,2008
24,Scott Brooks,OKC,1,1,69,22,47,69,22,47,69,0.319,,,2008
25,Stan Van Gundy,ORL,2,5,82,59,23,164,111,53,349,0.639,62.0,0.5645161290322581,2008
26,Maurice Cheeks,PHI,4,8,23,9,14,269,122,147,570,0.498,16.0,0.3125,2008
27,Tony DiLeo,PHI,1,1,59,32,27,59,32,27,59,0.542,6.0,0.3333333333333333,2008
28,Terry Porter,PHO,1,3,51,28,23,51,28,23,215,0.46,5.0,0.2,2008
29,Alvin Gentry,PHO,1,8,31,18,13,31,18,13,434,0.449,5.0,0.4,2008
30,Nate McMillan,POR,4,9,82,54,28,328,148,180,723,0.498,22.0,0.45454545454545453,2008
31,Reggie Theus,SAC,2,2,24,6,18,106,44,62,106,0.415,,,2008
32,Kenny Natt,SAC,1,1,58,11,47,58,11,47,58,0.19,,,2008
33,Gregg Popovich,SAS,13,13,82,54,28,1016,686,330,1016,0.675,165.0,0.6181818181818182,2008
34,Sam Mitchell,TOR,5,5,17,8,9,345,156,189,345,0.452,11.0,0.2727272727272727,2008
35,Jay Triano,TOR,1,1,65,25,40,65,25,40,65,0.385,,,2008
36,Jerry Sloan,UTA,21,24,82,48,34,1673,1043,630,1888,0.602,192.0,0.4895833333333333,2008
37,Eddie Jordan,WAS,6,8,11,1,10,421,197,224,518,0.444,26.0,0.3076923076923077,2008
38,Ed Tapscott,WAS,1,1,71,18,53,71,18,53,71,0.254,,,2008
0,Mike Woodson,ATL,6,6,82,53,29,492,206,286,492,0.419,29.0,0.3793103448275862,2009
1,Doc Rivers,BOS,6,11,82,50,32,492,280,212,831,0.543,86.0,0.5348837209302325,2009
2,Larry Brown,CHA,2,29,82,44,38,164,79,85,2310,0.571,235.0,0.5106382978723404,2009
3,Vinny Del Negro,CHI,2,2,82,41,41,164,82,82,164,0.5,12.0,0.3333333333333333,2009
4,Mike Brown,CLE,5,5,82,61,21,410,272,138,410,0.663,71.0,0.5915492957746479,2009
5,Rick Carlisle,DAL,2,8,82,55,27,164,105,59,656,0.588,78.0,0.47435897435897434,2009
6,George Karl,DEN,6,22,82,53,29,450,278,172,1657,0.595,167.0,0.4431137724550898,2009
7,John Kuester,DET,1,1,82,27,55,82,27,55,82,0.329,,,2009
8,Don Nelson,GSW,11,31,82,26,56,865,422,443,2398,0.557,166.0,0.45180722891566266,2009
9,Rick Adelman,HOU,3,19,82,42,40,246,150,96,1479,0.61,157.0,0.5031847133757962,2009
10,Jim O'Brien,IND,3,8,82,32,50,246,104,142,586,0.488,31.0,0.45161290322580644,2009
11,Mike Dunleavy,LAC,7,17,49,21,28,541,215,326,1329,0.461,71.0,0.5352112676056338,2009
12,Kim Hughes,LAC,1,1,33,8,25,33,8,25,33,0.242,,,2009
13,Phil Jackson,LAL,10,19,82,57,25,820,553,267,1558,0.705,323.0,0.6965944272445821,2009
14,Lionel Hollins,MEM,4,4,82,40,42,185,71,114,185,0.384,,,2009
15,Erik Spoelstra,MIA,2,2,82,47,35,164,90,74,164,0.549,12.0,0.3333333333333333,2009
16,Scott Skiles,MIL,2,10,82,46,36,164,80,84,696,0.519,42.0,0.42857142857142855,2009
17,Kurt Rambis,MIN,1,2,82,15,67,82,15,67,119,0.328,8.0,0.375,2009
18,Lawrence Frank,NJN,7,7,16,0,16,466,225,241,466,0.483,38.0,0.47368421052631576,2009
19,Tom Barrise,NJN,1,1,2,0,2,2,0,2,2,0.0,,,2009
20,Kiki Vandeweghe,NJN,1,1,64,12,52,64,12,52,64,0.188,,,2009
21,Byron Scott,NOH,6,10,9,3,6,419,203,216,707,0.498,57.0,0.5789473684210527,2009
22,Jeff Bower,NOH,1,1,73,34,39,73,34,39,73,0.466,,,2009
23,Mike D'Antoni,NYK,2,8,82,29,53,164,61,103,603,0.544,51.0,0.5098039215686274,2009
24,Scott Brooks,OKC,2,2,82,50,32,151,72,79,151,0.477,6.0,0.3333333333333333,2009
25,Stan Van Gundy,ORL,3,6,82,59,23,246,170,76,431,0.654,76.0,0.5921052631578947,2009
26,Eddie Jordan,PHI,1,9,82,27,55,82,27,55,600,0.428,26.0,0.3076923076923077,2009
27,Alvin Gentry,PHO,2,9,82,54,28,113,72,41,516,0.483,21.0,0.5714285714285714,2009
28,Nate McMillan,POR,5,10,82,50,32,410,198,212,805,0.509,28.0,0.42857142857142855,2009
29,Paul Westphal,SAC,1,8,82,25,57,82,25,57,508,0.575,49.0,0.5510204081632653,2009
30,Gregg Popovich,SAS,14,14,82,50,32,1098,736,362,1098,0.67,175.0,0.6057142857142858,2009
31,Jay Triano,TOR,2,2,82,40,42,147,65,82,147,0.442,,,2009
32,Jerry Sloan,UTA,22,25,82,53,29,1755,1096,659,1970,0.604,202.0,0.48514851485148514,2009
33,Flip Saunders,WAS,1,14,82,26,56,82,26,56,1065,0.576,98.0,0.47959183673469385,2009
0,Larry Drew,ATL,1,1,82,44,38,82,44,38,82,0.537,12.0,0.5,2010
1,Doc Rivers,BOS,7,12,82,56,26,574,336,238,913,0.555,95.0,0.5368421052631579,2010
2,Larry Brown,CHA,3,30,28,9,19,192,88,104,2338,0.568,235.0,0.5106382978723404,2010
3,Paul Silas,CHA,5,11,54,25,29,335,186,149,809,0.47,29.0,0.4482758620689655,2010
4,Tom Thibodeau,CHI,1,1,82,62,20,82,62,20,82,0.756,16.0,0.5625,2010
5,Byron Scott,CLE,1,11,82,19,63,82,19,63,789,0.47,57.0,0.5789473684210527,2010
6,Rick Carlisle,DAL,3,9,82,57,25,246,162,84,738,0.6,99.0,0.5353535353535354,2010
7,George Karl,DEN,7,23,82,50,32,532,328,204,1739,0.596,172.0,0.436046511627907,2010
8,John Kuester,DET,2,2,82,30,52,164,57,107,164,0.348,,,2010
9,Keith Smart,GSW,1,2,82,36,46,82,36,46,122,0.369,,,2010
10,Rick Adelman,HOU,4,20,82,43,39,328,193,135,1561,0.605,157.0,0.5031847133757962,2010
11,Jim O'Brien,IND,4,9,44,17,27,290,121,169,630,0.481,31.0,0.45161290322580644,2010
12,Frank Vogel,IND,1,1,38,20,18,38,20,18,38,0.526,5.0,0.2,2010
13,Vinny Del Negro,LAC,1,3,82,32,50,82,32,50,246,0.463,12.0,0.3333333333333333,2010
14,Phil Jackson,LAL,11,20,82,57,25,902,610,292,1640,0.704,333.0,0.6876876876876877,2010
15,Lionel Hollins,MEM,5,5,82,46,36,267,117,150,267,0.438,13.0,0.5384615384615384,2010
16,Erik Spoelstra,MIA,3,3,82,58,24,246,148,98,246,0.602,33.0,0.5454545454545454,2010
17,Scott Skiles,MIL,3,11,82,35,47,246,115,131,778,0.509,42.0,0.42857142857142855,2010
18,Kurt Rambis,MIN,2,3,82,17,65,164,32,132,201,0.279,8.0,0.375,2010
19,Avery Johnson,NJN,1,5,82,24,58,82,24,58,346,0.63,47.0,0.48936170212765956,2010
20,Monty Williams,NOH,1,1,82,46,36,82,46,36,82,0.561,6.0,0.3333333333333333,2010
21,Mike D'Antoni,NYK,3,9,82,42,40,246,103,143,685,0.54,55.0,0.4727272727272727,2010
22,Scott Brooks,OKC,3,3,82,55,27,233,127,106,233,0.545,23.0,0.4782608695652174,2010
23,Stan Van Gundy,ORL,4,7,82,52,30,328,222,106,513,0.651,82.0,0.573170731707317,2010
24,Doug Collins,PHI,1,9,82,41,41,82,41,41,701,0.532,43.0,0.37209302325581395,2010
25,Alvin Gentry,PHO,3,10,82,40,42,195,112,83,598,0.483,21.0,0.5714285714285714,2010
26,Nate McMillan,POR,6,11,82,48,34,492,246,246,887,0.516,34.0,0.4117647058823529,2010
27,Paul Westphal,SAC,2,9,82,24,58,164,49,115,590,0.536,49.0,0.5510204081632653,2010
28,Gregg Popovich,SAS,15,15,82,61,21,1180,797,383,1180,0.675,181.0,0.5966850828729282,2010
29,Jay Triano,TOR,3,3,82,22,60,229,87,142,229,0.38,,,2010
30,Jerry Sloan,UTA,23,26,54,31,23,1809,1127,682,2024,0.603,202.0,0.48514851485148514,2010
31,Tyrone Corbin,UTA,1,1,28,8,20,28,8,20,28,0.286,,,2010
32,Flip Saunders,WAS,2,15,82,23,59,164,49,115,1147,0.554,98.0,0.47959183673469385,2010
0,Larry Drew,ATL,2,2,66,40,26,148,84,64,148,0.568,18.0,0.4444444444444444,2011
1,Doc Rivers,BOS,8,13,66,39,27,640,375,265,979,0.558,115.0,0.5391304347826087,2011
2,Paul Silas,CHA,6,12,66,7,59,401,193,208,875,0.442,29.0,0.4482758620689655,2011
3,Tom Thibodeau,CHI,2,2,66,50,16,148,112,36,148,0.757,22.0,0.5,2011
4,Byron Scott,CLE,2,12,66,21,45,148,40,108,855,0.458,57.0,0.5789473684210527,2011
5,Rick Carlisle,DAL,4,10,66,36,30,312,198,114,804,0.596,103.0,0.5145631067961165,2011
6,George Karl,DEN,8,24,66,38,28,598,366,232,1805,0.595,179.0,0.43575418994413406,2011
7,Lawrence Frank,DET,1,8,66,25,41,66,25,41,532,0.47,38.0,0.47368421052631576,2011
8,Mark Jackson,GSW,1,1,66,23,43,66,23,43,66,0.348,,,2011
9,Kevin McHale,HOU,1,3,66,34,32,66,34,32,160,0.456,,,2011
10,Frank Vogel,IND,2,2,66,42,24,104,62,42,104,0.596,16.0,0.4375,2011
11,Vinny Del Negro,LAC,2,4,66,40,26,148,72,76,312,0.494,23.0,0.34782608695652173,2011
12,Mike Brown,LAL,1,6,66,41,25,66,41,25,476,0.658,83.0,0.5662650602409639,2011
13,Lionel Hollins,MEM,6,6,66,41,25,333,158,175,333,0.474,20.0,0.5,2011
14,Erik Spoelstra,MIA,4,4,66,46,20,312,194,118,312,0.622,56.0,0.6071428571428571,2011
15,Scott Skiles,MIL,4,12,66,31,35,312,146,166,844,0.506,42.0,0.42857142857142855,2011
16,Rick Adelman,MIN,1,21,66,26,40,66,26,40,1627,0.597,157.0,0.5031847133757962,2011
17,Avery Johnson,NJN,2,6,66,22,44,148,46,102,412,0.583,47.0,0.48936170212765956,2011
18,Monty Williams,NOH,2,2,66,21,45,148,67,81,148,0.453,6.0,0.3333333333333333,2011
19,Mike D'Antoni,NYK,4,10,42,18,24,288,121,167,727,0.534,55.0,0.4727272727272727,2011
20,Mike Woodson,NYK,1,7,24,18,6,24,18,6,516,0.434,34.0,0.35294117647058826,2011
21,Scott Brooks,OKC,4,4,66,47,19,299,174,125,299,0.582,43.0,0.5581395348837209,2011
22,Stan Van Gundy,ORL,5,8,66,37,29,394,259,135,579,0.641,87.0,0.5517241379310345,2011
23,Doug Collins,PHI,2,10,66,35,31,148,76,72,767,0.532,56.0,0.4107142857142857,2011
24,Alvin Gentry,PHO,4,11,66,33,33,261,145,116,664,0.485,21.0,0.5714285714285714,2011
25,Nate McMillan,POR,7,12,43,20,23,535,266,269,930,0.514,34.0,0.4117647058823529,2011
26,Kaleb Canales,POR,1,1,23,8,15,23,8,15,23,0.348,,,2011
27,Paul Westphal,SAC,3,10,7,2,5,171,51,120,597,0.533,49.0,0.5510204081632653,2011
28,Keith Smart,SAC,1,3,59,20,39,59,20,39,181,0.359,,,2011
29,Gregg Popovich,SAS,16,16,66,50,16,1246,847,399,1246,0.68,195.0,0.6051282051282051,2011
30,Dwane Casey,TOR,1,3,66,23,43,66,23,43,188,0.404,,,2011
31,Tyrone Corbin,UTA,2,2,66,36,30,94,44,50,94,0.468,4.0,0.0,2011
32,Flip Saunders,WAS,3,16,17,2,15,181,51,130,1164,0.548,98.0,0.47959183673469385,2011
33,Randy Wittman,WAS,1,6,49,18,31,49,18,31,356,0.331,,,2011
0,Larry Drew,ATL,3,3,82,44,38,230,128,102,230,0.557,24.0,0.4166666666666667,2012
1,Doc Rivers,BOS,9,14,81,41,40,721,416,305,1060,0.554,121.0,0.5289256198347108,2012
2,Avery Johnson,BRK,3,7,28,14,14,176,60,116,440,0.577,47.0,0.48936170212765956,2012
