,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,G,W,L,W/L%,Conf,Champ
278,Fred Schaus,1961,1967,7,560,315,245,0.563,35,71,33,38,0.465,0,0
279,Dolph Schayes,1964,1972,5,323,151,172,0.467,-10.5,21,9,12,0.429,0,0
280,Mike Schuler,1987,1992,5,338,179,159,0.53,10,8,2,6,0.25,0,0
281,Howie Schultz,1950,1950,1,35,21,14,0.6,3.5,,,,,0,0
282,Fred Scolari,1952,1952,1,39,12,27,0.308,-7.5,,,,,0,0
283,Byron Scott,2001,2016,15,1101,454,647,0.412,-96.5,57,33,24,0.579,2,0
284,Ray Scott,1973,1976,4,281,147,134,0.523,6.5,10,4,6,0.4,0,0
285,George Senesky,1956,1958,3,216,119,97,0.551,11,20,10,10,0.5,0,1
286,Paul Seymour,1957,1969,8,512,271,241,0.529,15,35,14,21,0.4,0,0
287,Bill Sharman*,1967,1976,7,573,333,240,0.581,46.5,62,35,27,0.565,2,1
288,Brian Shaw,2014,2015,2,141,56,85,0.397,-14.5,,,,,0,0
289,Charley Shipp,1950,1950,1,35,8,27,0.229,-9.5,,,,,0,0
290,Gene Shue,1967,1989,22,1645,784,861,0.477,-38.5,77,30,47,0.39,2,0
291,Paul Silas,1981,2012,12,875,387,488,0.442,-50.5,29,13,16,0.448,0,0
292,Stephen Silas,2021,2023,3,236,59,177,0.25,-59,,,,,0,0
293,Scott Skiles,2000,2016,14,958,478,480,0.499,-1,42,18,24,0.429,0,0
294,Jerry Sloan*,1980,2011,26,2024,1221,803,0.603,209,202,98,104,0.485,2,0
295,Keith Smart,2003,2013,4,263,93,170,0.354,-38.5,,,,,0,0
296,Jack Smiley,1950,1950,1,27,11,16,0.407,-2.5,,,,,0,0
297,Quin Snyder,2015,2024,10,722,411,311,0.569,50,57,23,34,0.404,0,0
298,Albert Soar,1948,1948,1,19,2,17,0.105,-7.5,,,,,0,0
299,Erik Spoelstra,2009,2024,16,1260,739,521,0.587,109,184,109,75,0.592,6,2
300,Garry St. Jean,1993,2000,6,450,172,278,0.382,-53,4,1,3,0.25,0,0
301,Bob Staak,1997,1997,1,1,0,1,0,-0.5,,,,,0,0
302,Larry Staverman,1978,1978,1,45,18,27,0.4,-4.5,,,,,0,0
303,Brad Stevens,2014,2021,8,636,354,282,0.557,36,78,38,40,0.487,0,0
304,Terry Stotts,2003,2021,13,1003,517,486,0.515,15.5,67,23,44,0.343,0,0
305,Ken Suesens,1950,1950,1,62,22,40,0.355,-9,3,1,2,0.333,0,0
306,Ed Tapscott,2009,2009,1,71,18,53,0.254,-17.5,,,,,0,0
307,Jerry Tarkanian*,1993,1993,1,20,9,11,0.45,-1,,,,,0,0
308,Reggie Theus,2008,2009,2,106,44,62,0.415,-9,,,,,0,0
309,Tom Thibodeau,2011,2024,12,900,516,384,0.573,66,72,31,41,0.431,0,0
310,Isiah Thomas,2001,2008,5,410,187,223,0.456,-18,15,5,10,0.333,0,0
311,Rod Thorn,1982,1982,1,30,15,15,0.5,0,,,,,0,0
312,Jim Todd,2000,2000,1,37,4,33,0.108,-14.5,,,,,0,0
313,Rolland Todd,1971,1972,2,138,41,97,0.297,-28,,,,,0,0
314,Mike Todorovich,1951,1951,1,42,14,28,0.333,-7,,,,,0,0
315,Rudy Tomjanovich*,1992,2005,13,943,527,416,0.559,55.5,90,51,39,0.567,2,2
316,Gene Tormohlen,1976,1976,1,8,1,7,0.125,-3,,,,,0,0
317,Jay Triano,2009,2018,4,308,108,200,0.351,-46,,,,,0,0
318,Ime Udoka,2022,2024,2,148,82,66,0.554,8,24,14,10,0.583,1,
319,Wes Unseld,1988,1994,7,547,202,345,0.369,-71.5,5,2,3,0.4,0,0
320,Wes Unseld,2022,2024,3,207,77,130,0.372,-26.5,,,,,,
321,Dick Van Arsdale,1987,1987,1,26,14,12,0.538,1,,,,,0,0
322,Butch van Breda Kolff,1968,1977,9,519,266,253,0.513,6.5,33,21,12,0.636,0,0
323,Jeff Van Gundy,1996,2007,11,748,430,318,0.575,56,88,44,44,0.5,1,0
324,Stan Van Gundy,2004,2021,13,979,554,425,0.566,64.5,91,48,43,0.527,1,0
325,Kiki Vandeweghe,2010,2010,1,64,12,52,0.188,-20,,,,,0,0
326,Jacque Vaughn,2013,2024,6,355,129,226,0.363,-48.5,8,0,8,0,0,0
327,Dick Versace,1989,1991,3,160,73,87,0.456,-7,3,0,3,0,0,0
328,Sam Vincent,2008,2008,1,82,32,50,0.39,-9,,,,,0,0
329,Dick Vitale,1979,1980,2,94,34,60,0.362,-13,,,,,0,0
330,Frank Vogel,2011,2024,12,886,469,417,0.529,26,88,49,39,0.557,1,1
331,Darrell Walker,1997,2000,3,169,56,113,0.331,-28.5,,,,,0,0
332,Donnie Walsh,1979,1981,3,142,60,82,0.423,-11,3,1,2,0.333,0,0
333,Luke Walton,2017,2022,6,407,166,241,0.408,-37.5,,,,,0,0
334,Bobby Wanzer,1956,1959,4,234,98,136,0.419,-19,2,0,2,0,0,0
335,Earl Watson,2016,2018,3,118,33,85,0.28,-26,,,,,0,0
336,Bob Weiss,1987,2006,7,522,223,299,0.427,-38,11,2,9,0.182,0,0
337,Jerry West,1977,1979,3,246,145,101,0.589,22,22,8,14,0.364,0,0
338,Paul Westhead,1980,1992,6,407,183,224,0.45,-20.5,19,13,6,0.684,1,1
339,Paul Westphal,1993,2012,10,597,318,279,0.533,19.5,49,27,22,0.551,1,0
340,John Wetzel,1988,1988,1,82,28,54,0.341,-13,,,,,0,0
