,,,,,Regular Season,Regular Season,Regular Season,Regular Season,Regular Season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs
Rk,Coach,From,To,Yrs,G,W,L,W/L%,W > .500,G,W,L,W/L%,Conf,Champ
341,Lenny Wilkens*,1970,2005,32,2487,1332,1155,0.536,88.5,178,80,98,0.449,2,1
342,Herb Williams,2004,2005,2,44,17,27,0.386,-5,,,,,0,0
343,Monty Williams,2011,2024,10,768,379,389,0.493,-5,56,29,27,0.518,1,0
344,Tex Winter,1972,1973,2,129,51,78,0.395,-13.5,,,,,0,0
345,Brian Winters,1996,2002,3,184,36,148,0.196,-56,,,,,0,0
346,Randy Wittman,2000,2016,10,684,278,406,0.406,-64,21,12,9,0.571,0,0
347,Dave Wohl,1986,1988,3,179,65,114,0.363,-24.5,3,0,3,0,0,0
348,Charles Wolf,1961,1965,5,330,143,187,0.433,-22,16,7,9,0.438,0,0
349,Mike Woodson,2005,2014,9,680,315,365,0.463,-25,46,18,28,0.391,0,0
350,Draff Young,1974,1974,1,4,0,4,0,-2,,,,,0,0
