,,Player,Team,Position
1995-96,FIRST TEAM,Anfernee Hardaway, Orlando Magic,G
1995-96,SECOND TEAM,Grant Hill, Detroit PIstons,F
1995-96,SECOND TEAM,Shawn Kemp, Seattle SuperSonics,F
1995-96,SECOND TEAM,Hakeem Olajuwon, Houston Rockets,C
1995-96,SECOND TEAM,Gary Payton, Seattle SuperSonics,G
1995-96,SECOND TEAM,John Stockton, Utah Jazz,G
1995-96,THIRD TEAM,Charles Barkley, Phoenix Suns,F
1995-96,THIRD TEAM,Juwan Howard, Washington Bullets),F
1995-96,THIRD TEAM,Shaquille O’Neal, Orlando Magic,C
1995-96,THIRD TEAM,Reggie Miller, Indiana Pacers,G
1995-96,THIRD TEAM,Mitch Richmond, Sacramento Kings,G
1994-95,FIRST TEAM,Scottie Pippen, Chicago Bulls,F
1994-95,FIRST TEAM,Karl Malone, Utah Jazz,F
1994-95,FIRST TEAM,David Robinson, San Antonio Spurs,C
1994-95,FIRST TEAM,John Stockton, Utah Jazz,G
1994-95,FIRST TEAM,Anfernee Hardaway, Orlando Magic,G
1994-95,SECOND TEAM,Charles Barkley, Phoenix Suns,F
1994-95,SECOND TEAM,Shawn Kemp, Seattle SuperSonics,F
1994-95,SECOND TEAM,Shaquille O’Neal, Orlando Magic,C
1994-95,SECOND TEAM,Gary Payton, Seattle SuperSonics,G
1994-95,SECOND TEAM,Mitch Richmond, Sacramento Kings,G
1994-95,THIRD TEAM,Dennis Rodman, San Antonio Spurs,F
1994-95,THIRD TEAM,Detlef Schrempf, Seattle SuperSonics,F
1994-95,THIRD TEAM,Hakeem Olajuwon, Houston Rockets,C
1994-95,THIRD TEAM,Reggie Miller, Indiana Pacers,G
1994-95,THIRD TEAM,Clyde Drexler, Houston Rockets,G
1993-94,FIRST TEAM,Scottie Pippen, Chicago Bulls,F
1993-94,FIRST TEAM,Karl Malone, Utah Jazz,F
1993-94,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1993-94,FIRST TEAM,John Stockton, Utah Jazz,G
1993-94,FIRST TEAM,Latrell Sprewell, Golden State Warriors,G
1993-94,SECOND TEAM,Charles Barkley, Phoenix Suns,F
1993-94,SECOND TEAM,Shawn Kemp, Seattle SuperSonics,F
1993-94,SECOND TEAM,David Robinson, San Antonio Spurs,C
1993-94,SECOND TEAM,Kevin Johnson, Phoenix Suns,G
1993-94,SECOND TEAM,Mitch Richmond, Sacramento Kings,G
1993-94,THIRD TEAM,Derrick Coleman, New Jersey Nets,F
1993-94,THIRD TEAM,Dominique Wilkins, Atlanta Hawks/LA Clippers,F
1993-94,THIRD TEAM,Shaquille O’Neal, Orlnado Magic,C
1993-94,THIRD TEAM,Gary Payton, Seattle SuperSonics,G
1993-94,THIRD TEAM,Mark Price, Cleveland Cavaliers,G
1992-93,FIRST TEAM,Charles Barkley, Phoenix Suns,F
1992-93,FIRST TEAM,Karl Malone, Utah Jazz,F
1992-93,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1992-93,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1992-93,FIRST TEAM,Mark Price, Cleveland Cavaliers,G
1992-93,SECOND TEAM,Larry Johnson, Charlotte Hornets,F
1992-93,SECOND TEAM,Dominique Wilkins, Atlanta Hawks,F
1992-93,SECOND TEAM,Patrick Ewing, New York Knicks,C
1992-93,SECOND TEAM,Joe Dumars, Detroit Pistons,G
1992-93,SECOND TEAM,John Stockton, Utah Jazz,G
1992-93,THIRD TEAM,Derrick Coleman, New Jersey Nets,F
1992-93,THIRD TEAM,Scottie Pippen, Chicago Bulls,F
1992-93,THIRD TEAM,David Robinson, San Antonio Spurs,C
1992-93,THIRD TEAM,Tim Hardaway, Golden State Warriors,G
1992-93,THIRD TEAM,Drazen Petrovic, New Jersey Nets,G
1991-92,FIRST TEAM,Chris Mullin, Golden State Warriors,F
1991-92,FIRST TEAM,Karl Malone, Utah Jazz,F
1991-92,FIRST TEAM,David Robinson, San Antonio Spurs,C
1991-92,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1991-92,FIRST TEAM,Clyde Drexler, Portland Trail Blazers,G
1991-92,SECOND TEAM,Charles Barkley, Philadelphia 76ers,F
1991-92,SECOND TEAM,Scottie Pippen, Chicago Bulls,F
1991-92,SECOND TEAM,Patrick Ewing, New York Knicks,C
1991-92,SECOND TEAM,Tim Hardaway, Golden State Warriors,G
1991-92,SECOND TEAM,John Stockton, Utah Jazz,G
1991-92,THIRD TEAM,Dennis Rodman, Detroit Pistons,F
1991-92,THIRD TEAM,Kevin Willis, Atlanta Hawks,F
1991-92,THIRD TEAM,Brad Daugherty, Cleveland Cavaliers,C
1991-92,THIRD TEAM,Kevin Johnson, Phoenix Suns,G
1991-92,THIRD TEAM,Mark Price, Cleveland Cavaliers,G
1990-91,FIRST TEAM,Charles Barkley, Philadelphia 76ers,F
1990-91,FIRST TEAM,Karl Malone, Utah Jazz,F
1990-91,FIRST TEAM,David Robinson, San Antonio Spurs,C
1990-91,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1990-91,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1990-91,SECOND TEAM,Chris Mullin, Golden State Warriors,F
1990-91,SECOND TEAM,Dominique Wilkins, Atlanta Hawks,F
1990-91,SECOND TEAM,Patrick Ewing, New York Knicks,C
1990-91,SECOND TEAM,Clyde Drexler, Portland Trail Blazers,G
1990-91,SECOND TEAM,Kevin Johnson, Phoenix Suns,G
1990-91,THIRD TEAM,Bernard King, Washington Bullets,F
1990-91,THIRD TEAM,James Worthy, Los Angeles Lakers,F
1990-91,THIRD TEAM,Hakeem Olajuwon, Houston Rockets,C
1990-91,THIRD TEAM,Joe Dumars, Detroit Pistons,G
1990-91,THIRD TEAM,John Stockton, Utah Jazz,G
1989-90,FIRST TEAM,Charles Barkley, Philadelphia 76ers,F
1989-90,FIRST TEAM,Karl Malone, Utah Jazz,F
1989-90,FIRST TEAM,Patrick Ewing, New York Knicks,C
1989-90,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1989-90,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1989-90,SECOND TEAM,Larry Bird, Boston Celtics,F
1989-90,SECOND TEAM,Tom Chambers, Phoenix Suns,F
1989-90,SECOND TEAM,Hakeem Olajuwon, Houston Rockets,C
1989-90,SECOND TEAM,John Stockton, Utah Jazz,G
1989-90,SECOND TEAM,Kevin Johnson, Phoenix Suns,G
1989-90,THIRD TEAM,Chris Mullin, Golden State Warriors,F
1989-90,THIRD TEAM,James Worthy, Los Angeles Lakers,F
1989-90,THIRD TEAM,David Robinson, San Antonio Spurs,C
1989-90,THIRD TEAM,Joe Dumars, Detroit Pistons,G
1989-90,THIRD TEAM,Clyde Drexler, Portland Trail Blazers,G
1988-89,FIRST TEAM,Charles Barkley, Philadelphia 76ers,F
1988-89,FIRST TEAM,Karl Malone, Utah Jazz,F
1988-89,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1988-89,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1988-89,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1988-89,SECOND TEAM,Chris Mullin, Golden State Warriors,F
1988-89,SECOND TEAM,Tom Chambers, Phoenix Suns,F
1988-89,SECOND TEAM,Patrick Ewing, New York Knicks,C
1988-89,SECOND TEAM,John Stockton, Utah Jazz,G
1988-89,SECOND TEAM,Kevin Johnson, Phoenix Suns,G
1988-89,THIRD TEAM,Terry Cummings, Milwaukee Bucks,F
1988-89,THIRD TEAM,Dominique Wilkins, Atlanta Hawks,F
1988-89,THIRD TEAM,Robert Parish, Boston Celtics,C
1988-89,THIRD TEAM,Dale Ellis, Seattle SuperSonics,G
1988-89,THIRD TEAM,Mark Price, Cleveland Cavaliers,G
1987-88,FIRST TEAM,Charles Barkley, Philadelphia 76ers,F
1987-88,FIRST TEAM,Larry Bird, Boston Celtics,F
1987-88,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1987-88,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1987-88,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1987-88,SECOND TEAM,Karl Malone, Utah Jazz,F
1987-88,SECOND TEAM,Dominique Wilkins, Atlanta Hawks,F
1987-88,SECOND TEAM,Patrick Ewing, New York Knicks,C
1987-88,SECOND TEAM,John Stockton, Utah Jazz,G
1987-88,SECOND TEAM,Clyde Drexler, Portland Trail Blazers,G
1986-87,FIRST TEAM,Kevin McHale, Boston Celtics,F
1986-87,FIRST TEAM,Larry Bird, Boston Celtics,F
1986-87,FIRST TEAM,Hakeem Olajuwon, Houston Rockets,C
1986-87,FIRST TEAM,Michael Jordan, Chicago Bulls,G
1986-87,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1986-87,SECOND TEAM,Charles Barkley, Philadelphia 76ers,F
1986-87,SECOND TEAM,Dominique Wilkins, Atlanta Hawks,F
1986-87,SECOND TEAM,Moses Malone, Washington Bullets,C
1986-87,SECOND TEAM,Fat Lever, Denver Nuggets,G
1986-87,SECOND TEAM,Isiah Thomas, Detroit Pistons,G
1985-86,FIRST TEAM,Dominique Wilkins, Atlanta Hawks,F
1985-86,FIRST TEAM,Larry Bird, Boston Celtics,F
1985-86,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1985-86,FIRST TEAM,Isiah Thomas, Detroit Pistons,G
1985-86,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1985-86,SECOND TEAM,Charles Barkley, Philadelphia 76ers,F
1985-86,SECOND TEAM,Alex English, Denver Nuggets,F
1985-86,SECOND TEAM,Hakeem Olajuwon, Houston Rockets,C
1985-86,SECOND TEAM,Sidney Moncrief, Milwaukee Bucks,G
1985-86,SECOND TEAM,Alvin Robertson, San Antonio Spurs,G
1984-85,FIRST TEAM,Benard King, New York Knicks,F
1984-85,FIRST TEAM,Larry Bird, Boston Celtics,F
1984-85,FIRST TEAM,Moses Malone, Philaedelphia 76ers,C
1984-85,FIRST TEAM,Isiah Thomas, Detroit Pistons,G
1984-85,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1984-85,SECOND TEAM,Terry Cummings, Milwaukee Bucks,F
1984-85,SECOND TEAM,Ralph Sampson, Houston Rockets,F
1984-85,SECOND TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1984-85,SECOND TEAM,Sidney Moncrief, Milwaukee Bucks,G
1984-85,SECOND TEAM,Michael Jordan, Chicago Bulls,G
1983-84,FIRST TEAM,Bernard King, New YOrk Knicks,F
1983-84,FIRST TEAM,Larry Bird, Boston Celtics,F
1983-84,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1983-84,FIRST TEAM,Isiah Thomas, Detroit Pistons,G
1983-84,FIRST TEAM,Magic Johnson, Los Angles Lakers,G
1983-84,SECOND TEAM,Adrian Dantley, Utah Jazz,F
1983-84,SECOND TEAM,Julius Erving, Philadelphia 76ers,F
1983-84,SECOND TEAM,Moses Malone, Philadelphia 76ers,C
1983-84,SECOND TEAM,Sidney Moncrief, Milwaukee Bucks,G
1983-84,SECOND TEAM,Jim Paxson, Portland Trail Blazers,G
1982-83,FIRST TEAM,Julius Erving, Philadelphia 76ers,F
1982-83,FIRST TEAM,Larry Bird, Boston Celtics,F
1982-83,FIRST TEAM,Moses Malone, Philadelphia 76ers,C
1982-83,FIRST TEAM,Sidney Moncrief, Milwaukee Bucks,G
1982-83,FIRST TEAM,Magic Johnson, Los Angeles Lakers,G
1982-83,SECOND TEAM,Alex English, Denver Nuggets,F
1982-83,SECOND TEAM,Buck Williams, New Jersey Nets,F
1982-83,SECOND TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1982-83,SECOND TEAM,George Gervin, San Antonio Spurs,G
1982-83,SECOND TEAM,Isiah Thomas, Detroit Pistons,G
1981-82,FIRST TEAM,Julius Erving, Philadelphia 76ers,F
1981-82,FIRST TEAM,Larry Bird, Boston Celtics,F
1981-82,FIRST TEAM,Moses Malone, Houston Rockets,C
1981-82,FIRST TEAM,George Gervin, San Antonio Spurs,G
1981-82,FIRST TEAM,Gus Williams, Seattle SuperSonics,G
1981-82,SECOND TEAM,Alex English, Denver Nuggets,F
1981-82,SECOND TEAM,Bernard King, Golden State Warriors,F
1981-82,SECOND TEAM,Robert Parish, Boston Celtics,C
1981-82,SECOND TEAM,Sidney Moncrief, Milwaukee Bucks,G
1981-82,SECOND TEAM,Magic Johnson, Los Angeles Lakers,G
1980-81,FIRST TEAM,Julius Erving, Philadelphia 76ers,F
1980-81,FIRST TEAM,Larry Bird, Boston Celtics,F
1980-81,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1980-81,FIRST TEAM,George Gervin, San Antonio Spurs,G
1980-81,FIRST TEAM,Dennis Johnson, Phoenix Suns,G
1980-81,SECOND TEAM,Adrian Dantley, Utah Jazz,F
1980-81,SECOND TEAM,Marques Johnson, Milwaukee Bucks,F
1980-81,SECOND TEAM,Moses Malone, Houston Rockets,C
1980-81,SECOND TEAM,Tiny Archibald, Boston Celtics,G
1980-81,SECOND TEAM,Otis Birdsong, Kansas City Kings,G
1979-80,FIRST TEAM,Julius Erving, Philadelphia 76ers,F
1979-80,FIRST TEAM,Larry Bird, Boston Celtics),F
1979-80,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1979-80,FIRST TEAM,George Gervin, San Antonio Spurs,G
1979-80,FIRST TEAM,Paul Westphal, Phoenix Suns,G
1979-80,SECOND TEAM,Dan Roundfield, Atlanta Hawks,F
1979-80,SECOND TEAM,Marques Johnson, Milwaukee Bucks,F
1979-80,SECOND TEAM,Moses Malone, Houston Rockets,C
1979-80,SECOND TEAM,Dennis Johnson, Seattle SuperSonics,G
1979-80,SECOND TEAM,Gus Williams, Seattle SuperSonics,G
1978-79,FIRST TEAM,Elvin Hayes, Washington Bullets,F
1978-79,FIRST TEAM,Marques Johnson, Milwaukee Bucks,F
1978-79,FIRST TEAM,Moses Malone, Houston Rockets,C
1978-79,FIRST TEAM,George Gervin, San Antonio Spurs,G
1978-79,FIRST TEAM,Paul Westphal, Phoenix Suns,G
1978-79,SECOND TEAM,Bob Dandridge, Washington Bullets,F
1978-79,SECOND TEAM,Walter Davis, Phoenix Suns,F
1978-79,SECOND TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1978-79,SECOND TEAM,Phil Ford, Kansas City Kings,G
1978-79,SECOND TEAM,World B. Free, San Diego Clippers,G
1977-78,FIRST TEAM,Julius Erving, Philadelphia 76ers,F
1977-78,FIRST TEAM,Truck Robinson, New Orleans Jazz,F
1977-78,FIRST TEAM,Bill Walton, Portland Trail Blazers,C
1977-78,FIRST TEAM,George Gervin, San Antonio Spurs,G
1977-78,FIRST TEAM,David Thompson, Denver Nuggets,G
1977-78,SECOND TEAM,Maurice Lucas, Portland Trail Blazers,F
1977-78,SECOND TEAM,Walter Davis, Phoenix Suns,F
1977-78,SECOND TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1977-78,SECOND TEAM,Pete Maravich, New Orleans Jazz,G
1977-78,SECOND TEAM,Paul Westphal, Phoenix Suns,G
1976-77,FIRST TEAM,Elvin Hayes, Washington Bullets,F
1976-77,FIRST TEAM,David Thompson, Denver Nuggets,F
1976-77,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1976-77,FIRST TEAM,Pete Maravich, New Orleans Jazz,G
1976-77,FIRST TEAM,Paul Westphal, Phoenix Suns,G
1976-77,SECOND TEAM,Julius Erving, Philadelphia 76ers,F
1976-77,SECOND TEAM,George McGinnis, Philadelphia 76ers,F
1976-77,SECOND TEAM,Bill Walton, Portland Trail Blazers,C
1976-77,SECOND TEAM,George Gervin, San Antonio Spurs,G
1976-77,SECOND TEAM,Jo Jo White, Boston Celtics,G
1975-76,FIRST TEAM,Rick Barry, Golden State Warriors,F
1975-76,FIRST TEAM,George McGinnis, Philadelphia 76ers,F
1975-76,FIRST TEAM,Kareem Abdul-Jabbar, Los Angeles Lakers,C
1975-76,FIRST TEAM,Pete Maravich, New Orleans Jazz,G
1975-76,FIRST TEAM,Tiny Archibald, Kansas City Kings,G
1975-76,SECOND TEAM,John Havlicek, Boston Celtics,F
1975-76,SECOND TEAM,Elvin Hayes, Washington Bullets,F
1975-76,SECOND TEAM,Dave Cowens, Boston Celtics,C
1975-76,SECOND TEAM,Phil Smith, Golden State Warriors,G
1975-76,SECOND TEAM,Randy Smith, Buffalo Braves,G
1974-75,FIRST TEAM,Rick Barry, Golden State Warriors,F
1974-75,FIRST TEAM,Elvin Hayes, Washington Bullets,F
1974-75,FIRST TEAM,Bob McAdoo, Buffalo Braves,C
1974-75,FIRST TEAM,Tiny Archibald, Kansas City-Omaha Kings,G
1974-75,FIRST TEAM,Walt Frazier, New York Knicks,G
1974-75,SECOND TEAM,John Havlicek, Boston Celtics,F
1974-75,SECOND TEAM,Spencer Haywood, Seattle SuperSonics,F
1974-75,SECOND TEAM,Dave Cowens, Boston Celtics,C
1974-75,SECOND TEAM,Phil Chenier, Washington Bullets,G
1974-75,SECOND TEAM,Jo Jo White, Boston Celtics,G
1973-74,FIRST TEAM,Rick Barry, Golden State Warriors,F
1973-74,FIRST TEAM,John Havlicek, Boston Celtics,F
1973-74,FIRST TEAM,Kareem Abdul-Jabbar, Milwaukee Bucks,C
1973-74,FIRST TEAM,Gail Goodrich, Los Angeles Lakers,G
1973-74,FIRST TEAM,Walt Frazier, New York Knicks,G
1973-74,SECOND TEAM,Elvin Hayes, Capital Bullets,F
1973-74,SECOND TEAM,Spencer Haywood, Seattle SuperSonics,F
1973-74,SECOND TEAM,Bob McAdoo, Buffalo Braves,C
1973-74,SECOND TEAM,Dave Bing, Detroit Pistons,G
1973-74,SECOND TEAM,Norm Van Lier, Chicago Bulls,G
1972-73,FIRST TEAM,Spencer Haywood, Seattle SuperSonics,F
1972-73,FIRST TEAM,John Havlicek, Boston Celtics,F
1972-73,FIRST TEAM,Kareem Abdul-Jabbar, Milwaukee Bucks,C
1972-73,FIRST TEAM,Tiny Archibald, Kansas City-Omaha Kings,G
1972-73,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1972-73,SECOND TEAM,Elvin Hayes, Baltimore Bullets,F
1972-73,SECOND TEAM,Rick Barry, Golden State Warriors,F
1972-73,SECOND TEAM,Dave Cowens, Boston Celtics,C
1972-73,SECOND TEAM,Walt Frazier, New York Knicks,G
1972-73,SECOND TEAM,Pete Maravich, Atlanta Hawks,G
1971-72,FIRST TEAM,Spencer Haywood, Seattle SuperSonics,F
1971-72,FIRST TEAM,John Havlicek, Boston Celtics,F
1971-72,FIRST TEAM,Kareem Abdul-Jabbar, Milwaukee Bucks,C
1971-72,FIRST TEAM,Walt Frazier, New York Knicks,G
1971-72,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1971-72,SECOND TEAM,Billy Cunningham, Philadelphia 76ers,F
1971-72,SECOND TEAM,Bob Love, Chicago Bulls,F
1971-72,SECOND TEAM,Wilt Chamberlain, Los Angeles Lakers,C
1971-72,SECOND TEAM,Tiny Archibald, Cincinnati Royals,G
1971-72,SECOND TEAM,Archie Clark, Baltimore Bullets,G
1970-71,FIRST TEAM,Billy Cunningham, Philadelphia 76ers,F
1970-71,FIRST TEAM,John Havlicek, Boston Celtics,F
1970-71,FIRST TEAM,Kareem Abdul-Jabbar, Milwaukee Bucks,C
1970-71,FIRST TEAM,Dave Bing, Detroit Pistons,G
1970-71,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1970-71,SECOND TEAM,Gus Johnson, Baltimore Bullets,F
1970-71,SECOND TEAM,Bob Love, Chicago Bulls,F
1970-71,SECOND TEAM,Willis Reed, New York Knicks,C
1970-71,SECOND TEAM,Walt Frazier, New York Knicks,G
1970-71,SECOND TEAM,Oscar Robertson, Milwaukee Bucks,G
1969-70,FIRST TEAM,Billy Cunningham, Philadelphia 76ers,F
1969-70,FIRST TEAM,Connie Hawkins, Phoenix Suns,F
1969-70,FIRST TEAM,Willis Reed, New York Knicks,C
1969-70,FIRST TEAM,Walt Frazier, New York Knicks,G
1969-70,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1969-70,SECOND TEAM,Gus Johnson, Baltimore Bullets,F
1969-70,SECOND TEAM,John Havlicek, Boston Celtics,F
1969-70,SECOND TEAM,Kareem Abdul-Jabbar, Milwaukee Bucks,C
1969-70,SECOND TEAM,Lou Hudson, Atlanta Hawks,G
1969-70,SECOND TEAM,Oscar Robertson, Cincinnati Royals,G
1968-69,FIRST TEAM,Billy Cunningham, Philadelphia 76ers,F
1968-69,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1968-69,FIRST TEAM,Wes Unseld, Baltimore Bullets,C
1968-69,FIRST TEAM,Earl Monroe, Baltimore Bullets,G
1968-69,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1968-69,SECOND TEAM,Dave DeBusschere, New York Knicks,F
1968-69,SECOND TEAM,John Havlicek, Boston Celtics,F
1968-69,SECOND TEAM,Willis Reed, New York Knicks,C
1968-69,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1968-69,SECOND TEAM,Jerry West, Los Angeles Lakers,G
1967-68,FIRST TEAM,Jerry Lucas, Cincinnati Royals,F
1967-68,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1967-68,FIRST TEAM,Wilt Chamberlain, Philadelphia 76ers,C
1967-68,FIRST TEAM,Dave Bing, Detroit Pistons,G
1967-68,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1967-68,SECOND TEAM,Willis Reed, New York Knicks,F
1967-68,SECOND TEAM,John Havlicek, Boston Celtics,F
1967-68,SECOND TEAM,Bill Russell, Boston Celtics,C
1967-68,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1967-68,SECOND TEAM,Jerry West, Los Angeles Lakers,G
1966-67,FIRST TEAM,Rick Barry, San Francisco Warriors,F
1966-67,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1966-67,FIRST TEAM,Wilt Chamberlain, Philadelphia 76ers,C
1966-67,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1966-67,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1966-67,SECOND TEAM,Willis Reed, New York Knicks,F
1966-67,SECOND TEAM,Jerry Lucas, Cincinnati Royals,F
1966-67,SECOND TEAM,Bill Russell, Boston Celtics,C
1966-67,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1966-67,SECOND TEAM,Sam Jones, Boston Celtics,G
1965-66,FIRST TEAM,Rick Barry, San Francisco Warriors,F
1965-66,FIRST TEAM,Jerry Lucas, Cincinnati Royals,F
1965-66,FIRST TEAM,Wilt Chamberlain, Philadelphia 76ers,C
1965-66,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1965-66,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1965-66,SECOND TEAM,John Havlicek, Boston Celtics,F
1965-66,SECOND TEAM,Gus Johnson, Baltimore Bullets,F
1965-66,SECOND TEAM,Bill Russell, Boston Celtics,C
1965-66,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1965-66,SECOND TEAM,Sam Jones, Boston Celtics,G
1964-65,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1964-65,FIRST TEAM,Jerry Lucas, Cincinnati Royals,F
1964-65,FIRST TEAM,Bill Russell, Boston Celtics,C
1964-65,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1964-65,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1964-65,SECOND TEAM,Bob Pettit, St. Louis Hawks,F
1964-65,SECOND TEAM,Gus Johnson, Baltimore Bullets,F
1964-65,SECOND TEAM,Wilt Chamberlain, Philadelphia 76ers,C
1964-65,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1964-65,SECOND TEAM,Sam Jones, Boston Celtics,G
1963-64,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1963-64,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1963-64,FIRST TEAM,Wilt Chamberlain, San Francisco Warriors,C
1963-64,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1963-64,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1963-64,SECOND TEAM,Tom Heinsohn, Boston Celtics,F
1963-64,SECOND TEAM,Jerry Lucas, Cincinnati Royals,F
1963-64,SECOND TEAM,Bill Russell, Boston Celtics,C
1963-64,SECOND TEAM,Hal Greer, Philadelphia 76ers,G
1963-64,SECOND TEAM,John Havlicek, Boston Celtics,G
1962-63,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1962-63,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1962-63,FIRST TEAM,Bill Russell, Boston Celtics,C
1962-63,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1962-63,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1962-63,SECOND TEAM,Tom Heinsohn, Boston Celtics,F
1962-63,SECOND TEAM,Bailey Howell, Detroit Pistons,F
1962-63,SECOND TEAM,Wilt Chamberlain, San Francisco Warriors,C
1962-63,SECOND TEAM,Hal Greer, Syracuse Nationals,G
1962-63,SECOND TEAM,Bob Cousy, Boston Celtics,G
1961-62,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1961-62,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1961-62,FIRST TEAM,Wilt Chamberlain, Philadelphia Warriors,C
1961-62,FIRST TEAM,Jerry West, Los Angeles Lakers,G
1961-62,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1961-62,SECOND TEAM,Tom Heinsohn, Boston Celtics,F
1961-62,SECOND TEAM,Jack Twyman, Cincinnati Royals,F
1961-62,SECOND TEAM,Bill Russell, Boston Celtics,C
1961-62,SECOND TEAM,Richie Guerin, New York Knicks,G
1961-62,SECOND TEAM,Bob Cousy, Boston Celtics,G
1960-61,FIRST TEAM,Elgin Baylor, Los Angeles Lakers,F
1960-61,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1960-61,FIRST TEAM,Wilt Chamberlain, Philadelphia Warriors,C
1960-61,FIRST TEAM,Bob Cousy, Boston Celtics,G
1960-61,FIRST TEAM,Oscar Robertson, Cincinnati Royals,G
1960-61,SECOND TEAM,Tom Heinsohn, Boston Celtics,F
1960-61,SECOND TEAM,Dolph Schayes, Syracuse Nationals,F
1960-61,SECOND TEAM,Bill Russell, Boston Celtics,C
1960-61,SECOND TEAM,Larry Costello, Syracuse Nationals,G
1960-61,SECOND TEAM,Gene Shue, Detroit Pistons,G
1959-60,FIRST TEAM,Elgin Baylor, Minneapolis Lakers,F
1959-60,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1959-60,FIRST TEAM,Wilt Chamberlain, Philadelphia Warriors,C
1959-60,FIRST TEAM,Bob Cousy, Boston Celtics,G
1959-60,FIRST TEAM,Gene Shue, Detroit Pistons,G
1959-60,SECOND TEAM,Jack Twyman, Cincinnati Royals,F
1959-60,SECOND TEAM,Dolph Schayes, Syracuse Nationals,F
1959-60,SECOND TEAM,Bill Russell, Boston Celtics,C
1959-60,SECOND TEAM,Richie Griffin, New York Knicks,G
1959-60,SECOND TEAM,Bill Sharman, Boston Celtics,G
1958-59,FIRST TEAM,Elgin Baylor, Minneapolis Lakers,F
1958-59,FIRST TEAM,Bob Pettit, St. Louis Hawks,F
1958-59,FIRST TEAM,Bill Russell, Boston Celtics,C
1958-59,FIRST TEAM,Bob Cousy, Boston Celtics,G
1958-59,FIRST TEAM,Bill Sharman, Boston Celtics,G
1958-59,SECOND TEAM,Paul Arizin, Philadelphia Warriors,F
1958-59,SECOND TEAM,Cliff Hagan, St. Louis Hawks,F
