,,Player,Team,Position
2016-17,FIRST TEAM,James Harden, Houston Rockets,G
2016-17,FIRST TEAM,Russell Westbrook, Oklahoma City Thunder,G
2016-17,SECOND TEAM,Giannis Antetokounmpo, Milwaukee Bucks,F
2016-17,SECOND TEAM,Kevin Durant, Golden State Warriors,F
2016-17,SECOND TEAM,Rudy Gobert, Utah Jazz,C
2016-17,SECOND TEAM,Stephen Curry, Golden State Warriors,G
2016-17,SECOND TEAM,Isaiah Thomas, Boston Celtics,G
2016-17,THIRD TEAM,Draymond Green, Golden State Warriors,F
2016-17,THIRD TEAM,Jimmy Butler, Chicago Bulls,F
2016-17,THIRD TEAM,DeAndre Jordan, LA Clippers,C
2016-17,THIRD TEAM,John Wall, Washington Wizards,G
2016-17,THIRD TEAM,DeMar DeRozan, Toronto Raptors,G
2016-17,THIRD TEAM,* (Voting Totals, PDF),
2015-16,FIRST TEAM,LeBron James, Cleveland Cavaliers,F
2015-16,FIRST TEAM,Kawhi Leonard, San Antonio Spurs,F
2015-16,FIRST TEAM,DeAndre Jordan, LA Clippers,C
2015-16,FIRST TEAM,Stephen Curry, Golden State Warriors,G
2015-16,FIRST TEAM,Russell Westbrook, Oklahoma City Thunder,G
2015-16,SECOND TEAM,Kevin Durant, Oklahoma City Thunder,F
2015-16,SECOND TEAM,Draymond Green, Golden State Warriors,F
2015-16,SECOND TEAM,DeMarcus Cousins, Sacramento Kings,C
2015-16,SECOND TEAM,Chris Paul, LA Clippers,G
2015-16,SECOND TEAM,Damian Lillard, Portland Trail Blazers,G
2015-16,THIRD TEAM,Paul George, Indiana Pacers,F
2015-16,THIRD TEAM,LaMarcus Aldridge, San Antonio Spurs,F
2015-16,THIRD TEAM,Andre Drummond, Detroit Pistons,C
2015-16,THIRD TEAM,Klay Thompson, Golden State Warriors,G
2015-16,THIRD TEAM,Kyle Lowry, Toronto Raptors,G
2015-16,THIRD TEAM,* (Voting Totals, PDF),
2014-15,FIRST TEAM,LeBron James, Cleveland Cavaliers,F
2014-15,FIRST TEAM,Anthony Davis, New Orleans Pelicans,F
