TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Houston Rockets,82,22,60,48.2,15.6,16.7,12.9,54.9,20.6,13.0,17.5,49.0,2022
San Antonio Spurs,82,22,60,48.4,15.8,15.8,13.5,55.6,19.0,14.7,15.3,56.7,2022
Detroit Pistons,82,17,65,48.3,16.0,14.9,11.7,46.5,18.1,14.8,13.5,54.0,2022
Phoenix Suns,82,64,18,48.1,18.1,12.1,12.5,49.8,14.8,13.6,11.3,45.2,2021
Memphis Grizzlies,82,56,26,48.2,18.3,18.7,17.7,57.6,14.5,13.0,13.2,47.4,2021
Golden State Warriors,82,53,29,48.1,17.6,12.6,13.8,44.7,16.9,12.7,12.3,43.9,2021
Miami Heat,82,53,29,48.4,17.2,12.7,10.9,43.0,16.7,12.6,12.2,41.3,2021
Dallas Mavericks,82,52,30,48.2,14.9,11.0,10.0,42.9,14.4,13.1,12.0,47.1,2021
Boston Celtics,82,51,31,48.5,16.3,13.0,11.1,46.5,15.2,12.5,11.5,42.5,2021
Milwaukee Bucks,82,51,31,48.2,15.1,13.5,13.1,45.0,15.6,12.9,11.5,43.7,2021
Philadelphia 76ers,82,51,31,48.3,15.7,11.3,12.2,45.0,14.9,13.0,15.0,46.7,2021
Utah Jazz,82,49,33,48.1,14.7,14.9,10.1,47.9,16.5,12.9,11.9,45.3,2021
Denver Nuggets,82,48,34,48.3,15.6,12.5,13.5,49.3,17.3,11.4,12.5,49.9,2021
Toronto Raptors,82,48,34,48.4,19.0,16.5,15.8,47.1,14.3,13.9,11.7,45.1,2021
Chicago Bulls,82,46,36,48.1,16.4,11.1,12.7,45.8,15.3,12.7,12.0,49.6,2021
Minnesota Timberwolves,82,46,36,48.2,19.8,14.8,15.2,47.7,16.2,14.1,14.1,46.1,2021
Brooklyn Nets,82,44,38,48.2,15.7,13.7,13.7,46.0,17.2,13.7,14.0,47.3,2021
Cleveland Cavaliers,82,44,38,48.1,15.8,12.6,11.2,48.4,17.4,12.5,12.2,46.6,2021
Atlanta Hawks,82,43,39,48.1,15.6,12.2,9.7,45.7,15.1,12.7,12.2,48.0,2021
Charlotte Hornets,82,43,39,48.5,18.6,13.5,16.3,51.4,16.3,15.0,13.9,48.1,2021
LA Clippers,82,42,40,48.2,15.4,10.9,11.9,43.4,16.5,15.0,13.0,50.1,2021
New York Knicks,82,37,45,48.2,15.6,14.5,10.6,41.5,15.4,12.3,11.3,43.2,2021
New Orleans Pelicans,82,36,46,48.2,16.6,15.1,14.3,48.4,16.1,12.6,11.2,45.3,2021
Washington Wizards,82,35,47,48.4,14.0,11.9,9.8,49.1,15.4,12.6,9.4,48.2,2021
San Antonio Spurs,82,34,48,48.3,16.5,14.3,13.6,53.3,15.3,14.9,11.8,50.2,2021
Los Angeles Lakers,82,33,49,48.7,16.1,12.1,14.8,49.2,17.1,13.4,15.0,51.5,2021
Sacramento Kings,82,30,52,48.3,16.3,13.1,11.7,49.0,17.9,14.8,13.4,51.4,2021
Portland Trail Blazers,82,27,55,48.1,16.6,13.6,12.4,43.8,17.5,13.0,14.3,47.5,2021
Indiana Pacers,82,25,57,48.5,14.5,14.7,13.3,49.7,17.1,13.6,13.4,51.5,2021
Oklahoma City Thunder,82,24,58,48.3,14.9,11.9,10.6,46.9,16.5,13.9,10.7,47.7,2021
Detroit Pistons,82,23,59,48.2,17.0,13.6,10.5,45.6,16.9,12.5,11.0,49.7,2021
Orlando Magic,82,22,60,48.2,14.2,12.4,10.8,45.4,16.8,13.4,12.2,44.5,2021
Houston Rockets,82,20,62,48.2,16.1,14.2,12.2,48.9,21.2,14.7,15.8,53.2,2021
Utah Jazz,72,52,20,48.2,14.1,13.6,11.9,44.2,17.0,12.4,12.1,49.1,2020
Phoenix Suns,72,51,21,48.6,16.1,12.9,13.1,45.3,14.8,12.4,12.0,47.4,2020
Philadelphia 76ers,72,49,23,48.4,18.1,13.9,15.2,47.3,17.2,11.6,14.3,46.0,2020
Brooklyn Nets,72,48,24,48.3,15.8,12.3,14.3,49.2,16.1,15.3,12.1,47.8,2020
Denver Nuggets,72,47,25,48.6,18.0,13.8,12.4,49.7,15.6,11.3,13.4,45.2,2020
LA Clippers,72,47,25,48.0,16.0,13.0,10.3,42.2,15.4,11.8,11.9,47.2,2020
Milwaukee Bucks,72,46,26,48.1,16.3,13.2,14.5,48.8,15.9,13.0,10.7,43.1,2020
Dallas Mavericks,72,42,30,48.1,14.5,12.3,11.4,44.2,14.6,13.1,12.4,45.2,2020
Los Angeles Lakers,72,42,30,48.5,17.4,13.3,13.3,49.9,16.6,11.3,12.2,48.2,2020
Portland Trail Blazers,72,42,30,48.1,14.9,14.6,11.6,39.3,14.1,13.8,13.7,47.3,2020
Atlanta Hawks,72,41,31,48.3,14.7,14.3,10.0,47.8,15.9,13.2,11.8,48.7,2020
New York Knicks,72,41,31,48.4,15.1,12.4,8.9,44.0,15.0,12.2,10.5,43.8,2020
Miami Heat,72,40,32,48.3,17.7,10.1,11.9,44.4,16.7,12.3,10.4,41.3,2020
Golden State Warriors,72,39,33,48.1,17.4,10.5,14.4,45.4,17.5,14.2,13.3,47.3,2020
Memphis Grizzlies,72,38,34,48.3,18.5,15.0,17.3,55.8,16.6,12.4,13.7,47.5,2020
Boston Celtics,72,36,36,48.3,17.8,13.3,11.8,46.3,15.8,13.2,11.8,44.3,2020
Indiana Pacers,72,34,38,48.5,18.0,12.8,16.6,54.0,16.0,15.3,13.7,53.8,2020
Washington Wizards,72,34,38,48.3,18.0,13.0,11.2,52.8,17.6,13.7,10.7,48.2,2020
