TEAM,GP,W,L,MIN,"PTS
OFF TO","2ND
PTS",FBPS,PITP,"OPP PTS
OFF TO","OPP
2ND PTS","OPP
FBPS","OPP
PITP",Season
Brooklyn Nets,82,20,62,48.2,15.0,11.5,14.0,45.9,19.1,14.3,14.0,45.0,2016
Golden State Warriors,82,73,9,48.5,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1,2015
San Antonio Spurs,82,67,15,48.1,16.1,11.8,10.4,43.6,13.5,10.6,12.1,40.1,2015
Cleveland Cavaliers,82,57,25,48.4,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8,2015
Toronto Raptors,82,56,26,48.2,16.7,12.3,11.0,42.1,14.2,11.6,11.0,40.1,2015
Oklahoma City Thunder,82,55,27,48.4,15.1,15.8,17.3,47.7,17.6,13.9,13.2,45.2,2015
LA Clippers,82,53,29,48.4,16.9,10.6,12.9,37.7,14.5,13.8,12.4,41.3,2015
Atlanta Hawks,82,48,34,48.4,18.5,10.7,14.8,43.4,16.0,13.1,11.9,40.9,2015
Boston Celtics,82,48,34,48.2,18.8,14.3,16.3,45.9,14.8,14.2,10.8,43.0,2015
Charlotte Hornets,82,48,34,48.4,15.9,11.4,11.1,37.6,14.1,11.4,12.4,40.0,2015
Miami Heat,82,48,34,48.4,14.8,12.7,11.1,46.4,15.6,13.0,10.7,42.0,2015
Indiana Pacers,82,45,37,48.5,18.9,12.9,13.4,40.9,16.3,13.0,12.2,41.6,2015
Detroit Pistons,82,44,38,48.5,15.4,14.9,11.1,43.5,14.6,10.7,10.4,44.4,2015
Portland Trail Blazers,82,44,38,48.3,14.8,14.1,10.7,39.1,16.3,12.4,11.1,40.9,2015
Chicago Bulls,82,42,40,48.5,13.3,13.6,10.2,41.0,16.0,14.3,13.8,44.4,2015
Dallas Mavericks,82,42,40,48.8,16.0,10.6,11.2,38.0,14.8,13.4,16.0,40.9,2015
Memphis Grizzlies,82,42,40,48.4,17.9,12.9,12.6,44.0,15.1,11.8,14.6,38.5,2015
Houston Rockets,82,41,41,48.4,18.9,13.9,18.1,45.7,19.5,14.7,14.4,44.6,2015
Washington Wizards,82,41,41,48.2,17.5,10.6,18.6,42.4,15.7,11.7,12.7,41.2,2015
Utah Jazz,82,40,42,48.7,15.6,13.5,9.3,41.8,16.0,11.5,11.7,39.6,2015
Orlando Magic,82,35,47,48.5,17.8,12.6,12.3,43.6,16.0,11.4,13.2,43.5,2015
Denver Nuggets,82,33,49,48.4,15.7,13.3,14.2,45.9,16.8,12.1,13.0,43.1,2015
Milwaukee Bucks,82,33,49,48.4,18.5,12.1,13.8,50.6,17.7,14.1,13.0,44.0,2015
Sacramento Kings,82,33,49,48.3,17.5,13.0,17.3,49.5,18.6,13.6,15.0,43.6,2015
New York Knicks,82,32,50,48.3,11.8,13.1,8.4,35.8,15.4,12.7,12.8,43.1,2015
New Orleans Pelicans,82,30,52,48.2,15.0,11.5,12.4,41.4,14.9,11.3,11.7,43.2,2015
Minnesota Timberwolves,82,29,53,48.5,16.4,13.0,13.6,44.1,17.8,13.2,13.4,46.1,2015
Phoenix Suns,82,23,59,48.1,16.5,14.0,14.4,41.4,20.2,12.6,17.3,43.8,2015
Brooklyn Nets,82,21,61,48.2,15.0,12.6,11.5,46.2,18.3,12.1,14.5,47.9,2015
Los Angeles Lakers,82,17,65,48.1,13.6,13.0,12.2,38.1,16.5,14.3,17.0,47.8,2015
Philadelphia 76ers,82,10,72,48.3,16.5,11.7,12.2,43.2,20.0,14.7,16.7,45.6,2015
Golden State Warriors,82,67,15,48.1,19.7,12.5,20.9,45.3,15.2,14.2,13.9,41.6,2014
Atlanta Hawks,82,60,22,48.1,18.3,11.0,13.3,41.4,15.7,14.2,11.2,39.4,2014
Houston Rockets,82,56,26,48.3,18.9,13.6,18.7,45.3,18.3,14.0,15.3,44.1,2014
Los Angeles Clippers,82,56,26,48.1,15.7,12.5,14.2,37.4,14.9,12.8,12.3,38.8,2014
Memphis Grizzlies,82,55,27,48.5,16.9,12.9,11.7,47.1,14.1,11.6,13.4,39.0,2014
San Antonio Spurs,82,55,27,48.7,16.1,12.1,11.0,45.0,15.1,11.9,14.1,42.5,2014
Cleveland Cavaliers,82,53,29,48.2,16.0,12.7,11.3,41.0,16.2,12.4,11.8,42.7,2014
Portland Trail Blazers,82,51,31,48.4,14.1,13.4,10.1,37.9,15.1,13.8,13.3,43.1,2014
Chicago Bulls,82,50,32,48.5,13.7,13.8,11.0,41.0,15.3,13.2,13.0,40.8,2014
Dallas Mavericks,82,50,32,48.5,19.3,13.1,16.0,42.7,15.2,14.0,15.9,40.9,2014
Toronto Raptors,82,49,33,48.4,16.3,14.1,11.9,43.0,15.0,14.1,12.4,43.7,2014
Washington Wizards,82,46,36,48.7,15.2,12.0,15.5,41.5,16.3,12.6,11.7,38.3,2014
New Orleans Pelicans,82,45,37,48.2,13.9,13.6,10.7,45.0,14.8,12.9,13.7,46.5,2014
Oklahoma City Thunder,82,45,37,48.4,15.4,15.2,17.0,44.9,16.5,12.8,12.5,42.8,2014
Milwaukee Bucks,82,41,41,48.6,19.2,12.0,15.1,42.8,16.8,13.3,10.7,39.8,2014
Boston Celtics,82,40,42,48.5,17.3,14.0,13.9,41.8,16.2,13.5,10.9,44.6,2014
Phoenix Suns,82,39,43,48.5,17.7,12.6,18.2,42.8,17.2,14.4,15.2,45.3,2014
Brooklyn Nets,82,38,44,48.6,14.3,12.3,9.4,45.1,15.6,14.0,13.8,43.6,2014
Indiana Pacers,82,38,44,48.4,14.2,13.4,9.5,37.1,15.5,11.8,13.0,38.3,2014
Utah Jazz,82,38,44,48.1,15.2,15.1,12.2,41.6,17.4,12.5,12.6,39.5,2014
Miami Heat,82,37,45,48.1,16.0,12.1,9.8,39.6,16.9,13.3,11.4,41.0,2014
Charlotte Hornets,82,33,49,48.5,13.4,12.4,9.2,36.5,12.8,12.6,11.0,38.5,2014
Detroit Pistons,82,32,50,48.4,15.9,14.9,13.4,44.8,15.8,13.5,11.3,43.0,2014
Denver Nuggets,82,30,52,48.5,16.9,14.4,15.0,44.9,16.4,14.1,13.2,42.9,2014
Sacramento Kings,82,29,53,48.4,15.3,14.1,14.9,45.1,18.6,13.6,16.8,43.9,2014
Orlando Magic,82,25,57,48.2,16.4,12.2,11.3,45.1,16.9,11.7,12.3,41.0,2014
Los Angeles Lakers,82,21,61,48.6,14.5,14.2,12.2,40.0,15.9,12.5,15.1,45.1,2014
Philadelphia 76ers,82,18,64,48.3,17.2,13.8,14.8,40.8,20.6,14.0,14.6,41.7,2014
New York Knicks,82,17,65,48.4,14.6,12.4,8.4,33.4,17.1,12.5,12.3,41.1,2014
Minnesota Timberwolves,82,16,66,48.3,17.4,14.1,12.9,41.3,17.4,14.9,14.3,48.0,2014
San Antonio Spurs,82,62,20,48.2,16.5,12.0,13.2,45.9,16.3,12.7,12.8,42.2,2013
Oklahoma City Thunder,82,59,23,48.3,17.7,13.5,16.2,42.1,17.3,12.3,12.8,39.7,2013
Los Angeles Clippers,82,57,25,48.2,19.5,13.4,18.6,42.0,15.6,14.2,11.1,44.6,2013
Indiana Pacers,82,56,26,48.2,15.5,12.4,9.6,38.4,15.4,11.7,11.7,35.7,2013
Houston Rockets,82,54,28,48.4,16.2,13.7,18.5,50.9,18.0,14.6,13.8,44.0,2013
Miami Heat,82,54,28,48.5,19.3,9.7,13.2,45.2,17.4,13.3,12.0,41.1,2013
Portland Trail Blazers,82,54,28,48.4,13.9,16.1,10.9,37.7,15.6,14.0,13.3,45.6,2013
Golden State Warriors,82,51,31,48.4,17.0,12.5,15.1,43.5,17.0,13.0,13.3,40.7,2013
Memphis Grizzlies,82,50,32,48.3,16.2,13.6,10.6,47.6,15.6,11.5,13.4,38.6,2013
Dallas Mavericks,82,49,33,48.4,17.1,12.0,12.2,41.9,16.2,13.5,15.6,43.6,2013
Chicago Bulls,82,48,34,48.6,15.4,14.1,9.8,37.2,15.6,11.7,12.4,37.0,2013
Phoenix Suns,82,48,34,48.2,17.7,12.9,18.7,42.1,16.9,14.3,14.1,45.5,2013
Toronto Raptors,82,48,34,48.7,16.8,14.7,9.6,38.9,16.8,13.1,12.1,42.9,2013
Brooklyn Nets,82,44,38,48.5,18.6,10.2,9.3,38.4,16.6,12.8,13.0,41.1,2013
Washington Wizards,82,44,38,48.9,18.2,12.2,15.7,41.3,16.8,12.9,12.3,41.9,2013
Charlotte Bobcats,82,43,39,48.5,14.3,12.0,10.2,40.4,14.0,12.6,10.2,38.8,2013
Minnesota Timberwolves,82,40,42,48.4,18.8,15.3,16.0,47.3,15.9,12.9,16.3,46.1,2013
Atlanta Hawks,82,38,44,48.4,17.4,11.4,13.9,41.0,17.3,13.1,12.4,42.5,2013
New York Knicks,82,37,45,48.4,16.7,13.1,9.0,33.5,15.0,12.7,11.7,39.5,2013
Denver Nuggets,82,36,46,48.2,16.5,14.4,15.7,46.3,17.6,14.1,13.5,45.3,2013
New Orleans Pelicans,82,34,48,48.4,16.8,14.0,13.3,45.5,16.1,12.9,13.5,43.8,2013
Cleveland Cavaliers,82,33,49,48.6,15.0,13.0,10.7,39.3,16.6,12.6,12.1,38.9,2013
Detroit Pistons,82,29,53,48.2,18.1,16.1,16.9,51.9,16.9,14.0,14.1,44.3,2013
Sacramento Kings,82,28,54,48.4,15.0,15.2,13.1,44.0,17.1,11.9,15.3,41.9,2013
Los Angeles Lakers,82,27,55,48.1,15.9,10.9,15.2,41.0,18.3,15.8,16.7,49.2,2013
Boston Celtics,82,25,57,48.1,15.9,13.9,12.1,37.8,16.5,13.8,13.3,44.8,2013
Utah Jazz,82,25,57,48.2,13.7,13.4,12.3,41.5,17.4,12.3,15.6,45.8,2013
Orlando Magic,82,23,59,48.7,14.8,12.0,11.3,38.1,16.7,13.0,13.2,39.9,2013
Philadelphia 76ers,82,19,63,48.4,18.6,13.9,17.4,49.5,19.2,14.1,16.6,44.2,2013
Milwaukee Bucks,82,15,67,48.5,16.2,12.9,12.7,41.1,17.8,13.2,12.9,42.4,2013
Miami Heat,82,66,16,48.5,18.6,10.4,11.9,41.5,15.7,14.7,11.9,39.9,2012
Oklahoma City Thunder,82,60,22,48.4,18.1,12.5,16.7,42.6,16.7,13.6,12.5,40.7,2012
San Antonio Spurs,82,58,24,48.5,17.4,10.1,13.7,44.6,16.4,12.5,14.2,40.0,2012
Denver Nuggets,82,57,25,48.5,19.9,15.8,20.1,58.0,17.3,14.8,12.2,40.7,2012
Los Angeles Clippers,82,56,26,48.1,19.6,14.2,15.7,44.9,16.0,13.0,12.3,37.2,2012
Memphis Grizzlies,82,56,26,48.3,17.4,14.3,12.6,43.0,14.9,11.9,12.4,38.0,2012
New York Knicks,82,54,28,48.1,17.8,13.2,8.8,33.7,13.5,12.4,12.1,39.7,2012
Brooklyn Nets,82,49,33,48.4,15.8,14.2,9.0,41.4,16.9,12.4,13.9,43.4,2012
Indiana Pacers,81,49,32,48.4,15.2,14.5,11.8,39.9,16.0,12.9,10.1,35.5,2012
Golden State Warriors,82,47,35,48.3,13.9,12.0,14.7,38.3,17.3,13.9,13.8,40.4,2012
Chicago Bulls,82,45,37,48.4,15.0,14.9,10.2,39.8,15.4,12.7,13.1,39.3,2012
Houston Rockets,82,45,37,48.2,18.0,13.0,18.6,46.2,18.4,12.6,14.2,41.9,2012
Los Angeles Lakers,82,45,37,48.2,15.5,13.8,10.2,42.0,16.7,13.8,15.9,44.1,2012
Atlanta Hawks,82,44,38,48.4,17.0,10.7,17.7,41.2,16.7,13.2,12.0,41.0,2012
Utah Jazz,82,43,39,48.5,17.4,14.7,14.2,42.9,16.9,12.5,13.4,42.6,2012
Boston Celtics,81,41,40,49.0,16.7,9.9,13.3,38.0,16.9,14.2,12.1,42.7,2012
Dallas Mavericks,82,41,41,48.7,16.1,10.6,16.2,40.5,17.1,13.6,14.0,41.1,2012
Milwaukee Bucks,82,38,44,48.4,17.9,14.6,13.4,42.8,16.8,14.6,15.1,46.2,2012
Philadelphia 76ers,82,34,48,48.2,16.3,13.1,12.8,38.9,14.5,12.2,12.5,40.2,2012
Toronto Raptors,82,34,48,48.7,16.9,13.4,9.9,38.5,15.5,13.1,11.9,42.5,2012
Portland Trail Blazers,82,33,49,48.4,15.1,14.1,9.9,37.4,17.2,13.4,14.6,47.4,2012
Minnesota Timberwolves,82,31,51,48.1,18.1,14.3,12.4,41.0,16.5,12.7,14.0,42.3,2012
Detroit Pistons,82,29,53,48.3,15.4,13.9,13.9,46.5,17.8,13.5,13.5,42.9,2012
Washington Wizards,82,29,53,48.4,15.6,11.9,14.2,36.6,16.8,12.6,12.0,38.1,2012
Sacramento Kings,82,28,54,48.4,16.3,13.8,16.8,45.7,17.6,14.2,16.7,45.2,2012
New Orleans Hornets,82,27,55,48.2,14.8,15.0,9.7,42.4,17.3,12.8,13.2,43.2,2012
Phoenix Suns,82,25,57,48.3,16.1,13.3,13.5,40.4,18.6,13.5,14.9,45.6,2012
Cleveland Cavaliers,82,24,58,48.1,16.9,14.9,10.2,39.8,16.2,13.6,13.1,42.5,2012
Charlotte Bobcats,82,21,61,48.3,14.4,13.4,15.7,38.6,17.0,14.0,13.8,43.9,2012
Orlando Magic,82,20,62,48.2,14.0,13.2,9.9,43.7,16.8,12.7,12.6,42.8,2012
Chicago Bulls,66,50,16,48.3,14.8,15.8,13.6,40.0,15.4,11.9,12.1,38.2,2011
San Antonio Spurs,66,50,16,48.3,16.0,12.5,13.7,45.2,15.2,11.1,14.0,40.5,2011
Oklahoma City Thunder,66,47,19,48.5,16.1,13.2,16.1,41.9,16.7,14.7,12.3,42.4,2011
Miami Heat,66,46,20,48.6,19.7,12.5,13.7,42.5,16.6,13.1,11.9,36.6,2011
Indiana Pacers,66,42,24,48.5,16.4,14.9,13.1,41.2,15.1,13.0,12.5,38.1,2011
Los Angeles Lakers,66,41,25,48.7,12.4,13.8,9.4,42.5,16.6,12.7,15.1,40.4,2011
Memphis Grizzlies,66,41,25,48.3,19.7,14.6,15.7,45.1,16.0,12.5,12.1,40.3,2011
Atlanta Hawks,66,40,26,49.0,17.1,12.5,15.9,39.8,16.0,12.6,12.0,40.5,2011
Los Angeles Clippers,66,40,26,48.4,17.4,14.4,11.0,39.2,15.1,12.9,12.3,38.6,2011
Boston Celtics,66,39,27,48.3,16.3,9.9,12.0,35.0,16.2,13.5,11.5,39.8,2011
Denver Nuggets,66,38,28,48.6,18.9,13.3,19.8,53.4,17.3,12.6,12.2,39.5,2011
Orlando Magic,66,37,29,48.4,15.0,12.8,9.8,37.4,16.2,11.8,10.9,37.4,2011
Dallas Mavericks,66,36,30,48.7,17.0,10.9,11.9,37.3,15.8,12.3,14.4,38.9,2011
New York Knicks,66,36,30,48.3,18.8,13.5,12.3,40.5,17.8,12.6,12.4,38.9,2011
Utah Jazz,66,36,30,49.0,16.7,15.5,16.9,49.8,15.3,12.2,14.4,42.3,2011
Philadelphia 76ers,66,35,31,48.2,16.3,12.3,15.4,38.9,11.6,11.7,10.2,36.4,2011
Houston Rockets,66,34,32,48.7,16.9,13.4,13.6,40.9,16.7,13.3,13.7,44.5,2011
Phoenix Suns,66,33,33,48.0,15.0,12.2,12.7,40.4,15.2,14.2,12.6,43.4,2011
Milwaukee Bucks,66,31,35,48.1,18.2,14.4,14.0,41.6,16.5,13.8,13.4,41.4,2011
Portland Trail Blazers,66,28,38,48.4,16.0,13.7,10.9,38.9,16.0,13.4,14.3,42.2,2011
Minnesota Timberwolves,66,26,40,48.3,14.1,14.7,10.3,40.8,18.4,14.0,15.8,44.1,2011
Detroit Pistons,66,25,41,48.4,15.7,13.5,13.5,41.4,18.4,12.2,14.0,40.1,2011
Golden State Warriors,66,23,43,48.2,16.1,11.0,13.0,38.1,16.2,15.3,14.4,43.1,2011
Toronto Raptors,66,23,43,48.4,15.0,12.2,9.7,37.0,15.4,12.3,12.5,37.6,2011
New Jersey Nets,66,22,44,48.2,16.0,12.9,11.1,33.5,17.7,13.6,14.8,44.2,2011
Sacramento Kings,66,22,44,48.2,17.9,14.9,18.7,48.5,17.8,14.4,17.1,48.2,2011
Cleveland Cavaliers,66,21,45,48.4,14.5,13.2,10.5,41.9,16.9,14.5,11.7,43.6,2011
New Orleans Hornets,66,21,45,48.3,15.3,12.3,9.0,40.2,17.7,13.3,12.9,40.9,2011
Washington Wizards,66,20,46,48.1,17.5,13.3,17.9,43.0,18.2,14.5,14.5,40.7,2011
Charlotte Bobcats,66,7,59,48.2,14.3,11.4,12.7,35.2,17.2,15.4,16.0,48.3,2011
Chicago Bulls,82,62,20,48.4,15.9,15.0,13.5,41.9,15.4,11.9,13.0,36.2,2010
San Antonio Spurs,82,61,21,48.2,15.9,11.4,15.3,42.3,15.3,13.2,14.0,41.2,2010
Miami Heat,82,58,24,48.2,16.1,11.8,14.2,38.0,15.5,12.8,13.0,38.6,2010
Dallas Mavericks,82,57,25,48.1,15.3,11.5,14.8,37.1,15.4,12.6,13.9,42.0,2010
Los Angeles Lakers,82,57,25,48.4,15.2,15.0,11.6,44.5,14.7,13.8,13.7,39.9,2010
Boston Celtics,82,56,26,48.2,16.2,9.5,12.5,41.5,15.1,12.5,11.2,37.0,2010
Oklahoma City Thunder,82,55,27,48.8,16.9,13.4,16.2,42.7,15.4,14.4,12.3,44.9,2010
Orlando Magic,82,52,30,48.4,15.1,12.8,11.2,37.2,16.5,11.5,10.7,35.4,2010
Denver Nuggets,82,50,32,48.1,16.3,12.6,14.1,44.4,15.6,13.2,12.2,41.2,2010
Portland Trail Blazers,82,48,34,48.3,17.4,14.1,10.1,40.6,15.0,13.3,11.4,40.2,2010
Memphis Grizzlies,82,46,36,48.5,19.5,14.7,16.6,51.4,15.3,12.7,15.0,40.3,2010
New Orleans Hornets,82,46,36,48.4,16.4,12.0,11.2,37.6,14.6,10.5,11.7,38.1,2010
Atlanta Hawks,82,44,38,48.1,14.2,11.4,14.3,36.9,15.2,12.8,14.1,40.5,2010
Houston Rockets,82,43,39,48.5,17.1,14.3,15.0,43.0,15.2,14.3,14.7,45.9,2010
New York Knicks,82,42,40,48.2,17.8,12.4,13.4,40.9,16.1,14.5,12.7,46.0,2010
Philadelphia 76ers,82,41,41,48.6,16.4,12.1,17.6,41.3,14.7,12.2,13.3,41.0,2010
Phoenix Suns,82,40,42,48.8,15.9,12.2,13.8,41.8,16.8,14.0,14.0,43.8,2010
Utah Jazz,82,39,43,48.5,15.9,13.3,14.0,43.4,16.6,12.9,13.1,40.3,2010
Indiana Pacers,82,37,45,48.2,15.4,13.6,13.9,38.5,17.1,12.9,13.3,39.0,2010
Golden State Warriors,82,36,46,48.4,19.6,13.1,18.8,42.6,17.6,14.4,19.3,45.5,2010
Milwaukee Bucks,82,35,47,48.4,16.6,11.9,10.0,35.7,14.8,11.9,12.1,37.5,2010
Charlotte Bobcats,82,34,48,48.3,14.8,12.4,11.9,41.1,16.5,12.8,14.3,39.8,2010
Los Angeles Clippers,82,32,50,48.4,16.3,14.0,14.6,45.5,19.1,13.2,14.2,41.0,2010
Detroit Pistons,82,30,52,48.5,16.5,13.9,13.1,40.6,16.3,13.9,15.7,44.0,2010
New Jersey Nets,82,24,58,48.8,13.4,12.7,11.3,39.0,15.9,13.0,13.3,41.5,2010
Sacramento Kings,82,24,58,48.4,17.0,15.5,15.3,45.1,18.9,12.8,17.8,46.0,2010
Washington Wizards,82,23,59,48.6,17.0,14.3,16.5,41.6,18.1,14.0,16.6,44.1,2010
Toronto Raptors,82,22,60,48.2,15.8,13.0,18.0,45.1,17.7,13.9,16.7,47.4,2010
Cleveland Cavaliers,82,19,63,48.2,14.1,13.0,14.1,40.4,15.8,13.2,14.2,42.2,2010
Minnesota Timberwolves,82,17,65,48.2,16.3,16.1,11.9,40.6,20.0,14.2,17.1,41.8,2010
Cleveland Cavaliers,82,61,21,48.2,15.4,12.8,14.0,44.0,15.6,11.7,13.2,36.8,2009
Orlando Magic,82,59,23,48.1,14.3,12.7,12.1,38.7,16.3,11.7,11.2,36.6,2009
Los Angeles Lakers,82,57,25,48.4,16.3,15.3,11.2,43.8,15.2,12.9,12.8,40.7,2009
Dallas Mavericks,82,55,27,48.5,16.4,11.7,16.0,38.0,15.0,12.9,13.4,41.7,2009
Phoenix Suns,82,54,28,48.1,14.7,13.8,16.0,45.4,17.2,16.1,15.3,43.8,2009
Atlanta Hawks,82,53,29,48.4,16.7,13.6,16.2,44.6,13.6,14.0,15.9,42.9,2009
Denver Nuggets,82,53,29,48.2,18.0,13.7,15.1,43.1,16.5,14.0,13.9,42.6,2009
Utah Jazz,82,53,29,48.2,18.4,13.2,15.3,48.6,17.1,12.1,15.0,40.0,2009
Boston Celtics,82,50,32,48.2,17.4,11.1,14.2,44.1,16.1,12.8,11.6,38.2,2009
Oklahoma City Thunder,82,50,32,48.3,17.9,13.9,15.7,43.0,16.3,14.3,12.5,44.0,2009
Portland Trail Blazers,82,50,32,48.4,16.3,13.9,9.5,36.5,14.1,12.8,11.2,40.9,2009
San Antonio Spurs,82,50,32,48.2,14.7,12.9,12.5,43.3,15.7,12.6,14.7,41.0,2009
Miami Heat,82,47,35,48.5,16.3,12.9,9.6,37.0,13.8,12.6,11.4,37.0,2009
Milwaukee Bucks,82,46,36,48.7,16.3,13.9,10.5,37.0,14.8,11.1,12.8,37.5,2009
Charlotte Bobcats,82,44,38,48.5,17.6,12.2,14.2,43.1,16.9,12.7,12.8,39.6,2009
Houston Rockets,82,42,40,48.5,16.9,14.2,14.6,44.0,16.4,13.4,14.1,45.6,2009
Chicago Bulls,82,41,41,48.5,14.3,13.4,14.2,40.5,15.5,12.9,13.3,39.7,2009
Memphis Grizzlies,82,40,42,48.5,17.1,15.9,17.6,51.3,18.8,13.2,18.0,47.7,2009
Toronto Raptors,82,40,42,48.2,15.5,12.5,14.8,42.3,15.6,13.5,17.2,42.4,2009
New Orleans Hornets,82,37,45,48.4,16.9,13.0,15.1,42.7,15.9,13.4,14.4,45.2,2009
Indiana Pacers,82,32,50,48.1,15.9,11.2,13.2,38.2,17.4,14.0,13.5,39.3,2009
Los Angeles Clippers,82,29,53,48.1,14.0,13.4,12.8,41.9,18.8,13.5,13.6,43.5,2009
New York Knicks,82,29,53,48.5,15.6,12.8,9.9,40.2,15.9,14.1,12.7,47.2,2009
Detroit Pistons,82,27,55,48.2,17.0,14.9,12.9,38.3,16.2,12.9,14.1,38.6,2009
Philadelphia 76ers,82,27,55,48.3,16.2,13.6,18.9,41.7,16.4,12.7,13.7,42.5,2009
Golden State Warriors,82,26,56,48.1,21.2,11.9,23.7,41.6,17.9,16.0,18.2,48.4,2009
Washington Wizards,82,26,56,48.4,14.9,13.7,10.8,37.8,17.1,13.5,13.8,41.6,2009
Sacramento Kings,82,25,57,48.5,16.2,14.5,15.0,44.8,16.8,13.8,15.0,45.0,2009
Minnesota Timberwolves,82,15,67,48.2,15.6,14.5,15.1,43.6,19.6,13.4,17.9,44.6,2009
New Jersey Nets,82,12,70,48.2,14.9,11.9,12.9,40.2,16.6,13.9,16.5,44.9,2009
Cleveland Cavaliers,82,66,16,48.2,17.2,12.9,11.4,35.7,14.7,12.0,12.6,37.1,2008
Los Angeles Lakers,82,65,17,48.2,18.8,15.7,12.3,47.0,15.1,13.3,11.5,41.7,2008
Boston Celtics,82,62,20,48.5,17.3,12.6,11.8,41.8,17.5,11.0,10.6,36.1,2008
Orlando Magic,82,59,23,48.1,14.4,12.7,11.5,35.9,15.0,12.5,11.2,35.7,2008
Denver Nuggets,82,54,28,48.1,18.0,13.7,16.8,44.0,16.8,14.3,11.6,39.0,2008
Portland Trail Blazers,82,54,28,48.4,15.7,15.4,9.2,38.7,14.1,12.1,10.3,38.4,2008
San Antonio Spurs,82,54,28,48.5,13.4,11.2,9.4,35.1,13.2,10.8,12.1,37.0,2008
Houston Rockets,82,53,29,48.3,13.5,13.4,8.7,40.0,15.7,11.7,11.7,38.0,2008
Dallas Mavericks,82,50,32,48.3,15.4,12.2,15.2,35.2,14.8,13.0,13.3,38.9,2008
New Orleans Hornets,82,49,33,48.2,15.0,11.3,10.4,37.9,13.9,11.7,11.2,35.8,2008
Utah Jazz,82,48,34,48.5,19.2,13.9,12.8,45.0,16.6,13.6,13.3,43.3,2008
Atlanta Hawks,82,47,35,48.1,15.5,12.7,15.6,39.8,14.0,13.3,12.5,40.8,2008
Phoenix Suns,82,46,36,48.2,16.7,12.9,17.6,52.0,18.6,15.4,13.2,39.8,2008
Miami Heat,82,43,39,48.7,17.3,12.0,9.7,37.1,14.7,13.0,11.4,39.1,2008
Chicago Bulls,82,41,41,48.6,17.1,13.9,15.0,37.9,16.9,15.4,12.7,43.2,2008
Philadelphia 76ers,82,41,41,48.2,18.1,14.5,17.6,44.5,16.3,13.3,11.1,39.8,2008
Detroit Pistons,82,39,43,48.5,13.4,13.5,9.9,34.5,13.1,11.7,10.4,37.6,2008
Indiana Pacers,82,36,46,48.4,15.2,14.0,13.3,41.5,17.0,12.6,12.5,37.8,2008
Charlotte Bobcats,82,35,47,48.6,17.2,12.3,10.1,40.1,16.6,13.4,10.6,37.6,2008
Milwaukee Bucks,82,34,48,48.2,18.6,13.6,11.6,37.9,16.6,12.9,11.9,36.2,2008
New Jersey Nets,82,34,48,48.4,15.2,11.8,11.1,37.1,15.6,13.1,13.2,38.4,2008
Toronto Raptors,82,33,49,48.3,15.1,11.9,9.4,34.4,15.6,13.4,11.5,40.6,2008
New York Knicks,82,32,50,48.3,17.0,13.4,10.7,41.9,16.7,13.7,12.9,45.7,2008
Golden State Warriors,82,29,53,48.5,16.6,13.9,18.4,43.1,18.0,17.1,16.8,48.6,2008
Memphis Grizzlies,82,24,58,48.3,16.5,11.4,11.9,41.1,16.1,12.7,12.3,41.7,2008
Minnesota Timberwolves,82,24,58,48.3,14.2,14.6,10.0,40.9,16.5,12.1,13.0,39.8,2008
Oklahoma City Thunder,82,23,59,48.3,15.3,13.9,14.5,42.3,19.0,13.0,14.0,44.7,2008
Los Angeles Clippers,82,19,63,48.5,14.1,12.7,10.6,40.9,16.8,14.6,11.9,44.5,2008
Washington Wizards,82,19,63,48.1,15.3,13.6,10.6,41.4,17.4,13.2,13.7,40.0,2008
Sacramento Kings,82,17,65,48.5,15.8,12.0,12.1,37.6,18.7,13.9,14.3,45.6,2008
Boston Celtics,82,66,16,48.2,18.9,12.9,11.0,38.9,16.2,12.5,9.1,34.1,2007
Detroit Pistons,82,59,23,48.1,15.5,14.4,11.5,32.3,11.8,11.4,9.6,35.2,2007
Los Angeles Lakers,82,57,25,48.2,17.1,13.2,12.4,43.8,15.8,14.3,11.9,41.2,2007
New Orleans Hornets,82,56,26,48.3,16.7,13.2,13.6,40.2,12.5,11.3,11.3,38.2,2007
San Antonio Spurs,82,56,26,48.1,14.4,11.1,9.5,36.1,14.0,10.5,11.5,35.5,2007
Houston Rockets,82,55,27,48.1,14.9,14.7,8.2,39.9,14.4,12.7,12.9,35.8,2007
Phoenix Suns,82,55,27,48.2,15.9,10.8,17.3,44.4,16.1,15.4,12.2,44.8,2007
Utah Jazz,82,54,28,48.1,18.7,14.4,11.3,47.3,16.2,12.8,13.6,39.7,2007
Orlando Magic,82,52,30,48.2,15.3,12.2,12.5,41.8,16.1,12.7,12.5,37.4,2007
Dallas Mavericks,82,51,31,48.1,14.5,12.2,14.5,35.5,13.9,12.9,12.8,39.2,2007
Denver Nuggets,82,50,32,48.4,18.1,13.8,19.0,46.6,17.0,14.6,14.2,43.0,2007
Golden State Warriors,82,48,34,48.2,20.0,14.7,23.0,48.6,15.6,15.7,14.3,45.0,2007
Cleveland Cavaliers,82,45,37,48.4,14.0,15.2,11.8,38.1,15.8,11.3,12.4,37.5,2007
