TEAM,GP,W,L,MIN,"OPP
FGM","OPP
FGA","OPP
FG%","OPP
3PM","OPP
3PA","OPP
3P%","OPP
FTM","OPP
FTA","OPP
FT%","OPP
OREB","OPP
DREB","OPP
REB","OPP
AST","OPP
TOV","OPP
STL","OPP
BLK","OPP
BLKA","OPP
PF","OPP
PFD","OPP
PTS",+/-,Season
Detroit Pistons,66,12,54,48.2,43.7,89.2,49.0,11.9,32.0,37.2,21.0,25.9,81.0,9.4,33.0,42.4,26.8,12.2,9.0,6.0,4.9,18.4,21.6,120.3,8.2,2023
Washington Wizards,67,11,56,48.1,46.7,93.2,50.1,12.3,33.6,36.6,18.3,23.6,77.4,12.3,37.1,49.3,29.6,14.4,7.8,5.8,5.2,18.0,19.7,123.9,9.9,2023
Milwaukee Bucks,82,58,24,48.4,42.5,93.2,45.6,12.1,34.1,35.4,16.3,21.0,77.6,10.7,33.5,44.2,23.9,11.8,7.0,3.9,4.9,19.0,18.0,113.3,-3.6,2022
Boston Celtics,82,57,25,48.7,41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44.0,23.1,12.7,6.6,3.9,5.2,19.1,18.8,111.4,-6.5,2022
Philadelphia 76ers,82,54,28,48.5,40.4,85.4,47.3,11.6,33.4,34.8,18.5,23.7,78.1,9.5,31.6,41.2,24.2,14.3,6.6,4.6,4.7,19.6,20.4,110.9,-4.3,2022
Denver Nuggets,82,53,29,48.2,41.7,87.4,47.8,11.4,33.1,34.4,17.6,22.7,77.5,10.1,30.7,40.8,25.7,13.5,7.9,4.2,4.5,19.5,18.6,112.5,-3.3,2022
Cleveland Cavaliers,82,51,31,48.5,39.0,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23.0,15.7,7.0,4.4,4.7,20.4,19.0,106.9,-5.4,2022
Memphis Grizzlies,82,51,31,48.2,40.7,89.8,45.3,13.0,36.6,35.5,18.5,23.5,78.7,11.0,33.4,44.4,26.4,15.1,6.8,5.2,5.8,20.0,20.0,113.0,-3.9,2022
Sacramento Kings,82,48,34,48.4,43.8,88.9,49.2,12.5,33.4,37.3,18.1,23.0,78.7,9.7,32.5,42.2,26.7,14.2,7.3,4.2,3.4,20.9,19.7,118.1,-2.6,2022
New York Knicks,82,47,35,48.7,40.8,88.2,46.2,13.0,36.5,35.7,18.5,23.7,78.2,10.1,31.9,42.0,25.1,12.7,6.0,4.5,4.1,20.7,20.3,113.1,-2.9,2022
Brooklyn Nets,82,45,37,48.1,41.0,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,13.7,7.0,3.9,6.2,18.5,21.1,112.5,-0.9,2022
Phoenix Suns,82,45,37,48.2,40.0,85.9,46.6,11.4,32.0,35.7,20.1,25.6,78.6,10.2,32.6,42.9,23.4,14.4,7.2,4.0,5.3,19.9,21.2,111.6,-2.1,2022
Golden State Warriors,82,44,38,48.4,42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,14.3,7.9,4.0,4.0,18.4,21.4,117.1,-1.8,2022
